# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.39	1.17474e-18
1.0011006740431258e-11	-0.0033485082	-0.0060562254	-0.9761695	0	0	0.39	4.1191907e-18
2.0030392546673687e-11	-0.011499377	-0.0031876257	-0.96764964	0	0	0.39	4.1090946e-18
3.0001902243054104e-11	-0.0017686342	0.0034901109	-0.9668372	0	0	0.39	4.9080857e-18
4.001792128620939e-11	-0.010282052	-0.0023078085	-0.9638779	0	0	0.39	5.1736115e-18
5.000455511149904e-11	-0.016249454	0.0027040131	-0.9635473	0	0	0.39	3.959041e-18
6.005137279178083e-11	-0.015181189	-0.016382422	-0.9610677	0	0	0.39	4.160536e-18
7.000508068726052e-11	-0.007446087	-0.018312769	-0.9558442	0	0	0.39	4.524385e-18
8.00499036651662e-11	0.017630529	-0.021821804	-0.95744514	0	0	0.39	5.177936e-18
9.003401349383976e-11	0.025168236	-0.025960114	-0.95620906	0	0	0.39	3.8945516e-18
1.000370374109199e-10	0.023700355	-0.009398464	-0.9571321	0	0	0.39	4.2563815e-18
1.1001044907202186e-10	0.010874389	-0.006479214	-0.9571377	0	0	0.39	4.3587253e-18
1.200400121220544e-10	0.01757278	-0.019991364	-0.9535807	0	0	0.39	3.533918e-18
1.3000211350982702e-10	0.020144142	-0.030457594	-0.95680994	0	0	0.39	5.24886e-18
1.4000521986629287e-10	0.027994823	-0.03534775	-0.9559899	0	0	0.39	4.75088e-18
1.5005949140791954e-10	0.021220587	-0.030954262	-0.95787805	0	0	0.39	4.7476375e-18
1.6001928820561516e-10	0.015687644	-0.04656199	-0.9535398	0	0	0.39	4.09615e-18
1.7005864862141196e-10	0.015773825	-0.04880049	-0.9496084	0	0	0.39	4.119786e-18
1.800391763558881e-10	0.015307984	-0.057675358	-0.9506585	0	0	0.39	4.3835485e-18
1.9000051676967295e-10	0.019849993	-0.064232744	-0.9475257	0	0	0.39	4.942214e-18
2.000066879291715e-10	0.029163001	-0.076410845	-0.9474435	0	0	0.39	4.3750662e-18
2.100038873659755e-10	0.019225093	-0.09685436	-0.94911385	0	0	0.39	4.171612e-18
2.2003282078426102e-10	-0.0023520405	-0.09860459	-0.94875664	0	0	0.39	5.089573e-18
2.3005453839082404e-10	-0.019633783	-0.09774765	-0.9500221	0	0	0.39	4.71038e-18
2.400238898971686e-10	-0.042711418	-0.066548176	-0.95426196	0	0	0.39	4.0164197e-18
2.5005003525376834e-10	-0.046245433	-0.040324215	-0.95150834	0	0	0.39	4.8122423e-18
2.600272719689851e-10	-0.022461966	-0.039549146	-0.9490615	0	0	0.39	4.5463464e-18
2.7004509351197573e-10	-0.025713	-0.04379567	-0.9501299	0	0	0.39	4.0246725e-18
2.8004496997114754e-10	-0.013913147	-0.055046916	-0.9506618	0	0	0.39	3.8581155e-18
2.9004203375432497e-10	-0.0010343397	-0.04911803	-0.9472208	0	0	0.39	4.3377475e-18
3.00031367094719e-10	-0.025267532	-0.059427816	-0.94661	0	0	0.39	4.8677288e-18
3.100437200396696e-10	-0.047565605	-0.058957394	-0.9525844	0	0	0.39	4.186073e-18
3.2004945483890497e-10	-0.0438718	-0.04283453	-0.9520799	0	0	0.39	5.3123706e-18
3.3003765771358795e-10	-0.051710475	-0.01942915	-0.9467564	0	0	0.39	3.5234643e-18
3.400315538593656e-10	-0.05025609	-0.008579613	-0.9451223	0	0	0.39	5.2421587e-18
3.500326868508574e-10	-0.061658494	-0.0024947422	-0.9449392	0	0	0.39	3.922527e-18
3.600635469065379e-10	-0.033781372	-0.002380219	-0.94897896	0	0	0.39	4.592999e-18
3.700328113199766e-10	-0.024204647	-0.0033235876	-0.95038337	0	0	0.39	3.836835e-18
3.8002094839279974e-10	-0.029102378	-0.014048292	-0.94242173	0	0	0.39	5.180636e-18
3.9000578599461073e-10	-0.033707503	-0.015668537	-0.94564	0	0	0.39	4.438352e-18
4.00051146457721e-10	-0.04282415	-0.0032947464	-0.94645894	0	0	0.39	4.4653e-18
4.1003507677431745e-10	-0.06706528	0.017320229	-0.9459583	0	0	0.39	4.4499517e-18
4.2005244073528465e-10	-0.07029675	0.04326014	-0.9409542	0	0	0.39	4.306712e-18
4.3002800894886074e-10	-0.06473292	0.07141401	-0.93972355	0	0	0.39	5.6015517e-18
4.400380754324919e-10	-0.055152383	0.06439766	-0.93698734	0	0	0.39	4.735141e-18
4.500069171205931e-10	-0.05155598	0.055125825	-0.9387386	0	0	0.39	4.1223766e-18
4.6005521660450064e-10	-0.0448384	0.037285853	-0.9423538	0	0	0.39	4.4980014e-18
4.700238580656298e-10	-0.043676537	0.017728413	-0.9463171	0	0	0.39	5.15741e-18
4.800038720603548e-10	-0.04614344	0.013611492	-0.9457994	0	0	0.39	4.6780443e-18
4.900199393503228e-10	-0.05139831	-0.0023557085	-0.9410347	0	0	0.39	4.5110927e-18
5.000561909924277e-10	-0.054920662	-0.0012743215	-0.9392534	0	0	0.39	3.9623717e-18
5.100570051713005e-10	-0.06336524	0.023473633	-0.94149023	0	0	0.39	4.8293116e-18
5.200355625941445e-10	-0.060544092	0.036972474	-0.941165	0	0	0.39	4.9036115e-18
5.300477098694679e-10	-0.028184228	0.07546208	-0.93824834	0	0	0.39	4.9001327e-18
5.400141562058282e-10	-0.02294095	0.06860769	-0.93621343	0	0	0.39	4.2203805e-18
5.500235927481528e-10	-0.013523654	0.052046835	-0.93777955	0	0	0.39	3.7297313e-18
5.60043649072965e-10	-0.0030299406	0.036695156	-0.94218594	0	0	0.39	5.3142227e-18
5.700048530065645e-10	-0.022035832	0.02636995	-0.9445563	0	0	0.39	4.4485637e-18
5.800015360765333e-10	-0.063693024	0.028005097	-0.94688666	0	0	0.39	3.5588234e-18
5.900280176143821e-10	-0.065882176	0.03539284	-0.9413582	0	0	0.39	6.028538e-18
6.000293647925028e-10	-0.06624434	0.053285114	-0.93613946	0	0	0.39	5.1373657e-18
6.100062206129459e-10	-0.04058665	0.07149609	-0.9412582	0	0	0.39	5.24525e-18
6.200473987400604e-10	-0.016991438	0.08343397	-0.9471396	0	0	0.39	5.113509e-18
