# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.38	1.0996098e-18
1.0045247556667633e-11	-0.0023886953	0.013730732	-0.97564846	0	0	0.38	5.3286413e-18
2.0015160965385242e-11	-0.005153653	0.014527892	-0.9676965	0	0	0.38	4.162813e-18
3.002485135420368e-11	0.0065005077	0.015219125	-0.9650436	0	0	0.38	4.741484e-18
4.0058504491571e-11	0.024587678	0.01142935	-0.96522635	0	0	0.38	4.774518e-18
5.00029342519701e-11	0.008646898	0.0133439945	-0.964502	0	0	0.38	4.5011976e-18
6.000356609617575e-11	-0.009211218	0.028443389	-0.9622328	0	0	0.38	5.4629282e-18
7.005495361796639e-11	0.00018257578	0.042367052	-0.96335584	0	0	0.38	4.6951504e-18
8.005799320821469e-11	-0.0050565903	0.04444066	-0.9587463	0	0	0.38	3.6209707e-18
9.001300047035473e-11	-0.013295842	0.04828476	-0.9580737	0	0	0.38	4.3291097e-18
1.0000612886995446e-10	-0.015281573	0.07560072	-0.95682186	0	0	0.38	4.270384e-18
1.1004887700633184e-10	-0.004674946	0.082288176	-0.9556738	0	0	0.38	3.8894748e-18
1.2000935837362555e-10	0.0061736177	0.07857313	-0.95398265	0	0	0.38	3.895264e-18
1.300424711425416e-10	0.040262774	0.065506354	-0.9542931	0	0	0.38	5.109403e-18
1.4004698607304434e-10	0.044801105	0.072260305	-0.95123667	0	0	0.38	4.539385e-18
1.500378691002384e-10	0.046218872	0.05253104	-0.9506916	0	0	0.38	4.487628e-18
1.6000685746661464e-10	0.049487222	0.038656615	-0.95406526	0	0	0.38	3.7195566e-18
1.7003497182743778e-10	0.049515955	0.041853383	-0.94912726	0	0	0.38	3.9337492e-18
1.8003404907818837e-10	0.04406708	0.020307966	-0.95209306	0	0	0.38	4.4255507e-18
1.9003848995299478e-10	0.05779793	0.023300558	-0.9456611	0	0	0.38	4.452823e-18
2.0004550207453008e-10	0.075359315	0.009939973	-0.94625777	0	0	0.38	5.105313e-18
2.100602222701149e-10	0.10333575	0.011420761	-0.9429209	0	0	0.38	4.8948847e-18
2.2004881161490562e-10	0.11700295	0.0065200417	-0.94376856	0	0	0.38	4.200548e-18
2.3000571768053048e-10	0.12573598	0.0025740056	-0.94111776	0	0	0.38	4.116712e-18
2.400446488883656e-10	0.12633282	-0.008029368	-0.9399121	0	0	0.38	4.7253445e-18
2.5002158826921564e-10	0.12205696	-0.016783694	-0.9405802	0	0	0.38	5.4197192e-18
2.600664810467698e-10	0.11999051	-0.012153666	-0.944369	0	0	0.38	3.7597857e-18
2.700220665599625e-10	0.10371234	-0.02273306	-0.9441034	0	0	0.38	4.9528142e-18
2.8003824797171737e-10	0.12265893	-0.005830382	-0.94345933	0	0	0.38	5.1203353e-18
2.9003857236734465e-10	0.13297647	-0.008218635	-0.9394231	0	0	0.38	3.9440563e-18
3.00014755443248e-10	0.1538277	-0.020851938	-0.93654954	0	0	0.38	5.4436127e-18
3.1000300354748724e-10	0.14820562	-0.032525923	-0.9342977	0	0	0.38	4.375548e-18
3.200055820979563e-10	0.14618896	-0.03579823	-0.93310094	0	0	0.38	4.5385944e-18
3.3003362590302177e-10	0.1276354	-0.04833322	-0.93528146	0	0	0.38	3.5009675e-18
3.4000672898127627e-10	0.124972016	-0.05135304	-0.94037926	0	0	0.38	4.048189e-18
3.5004512903946393e-10	0.1297035	-0.0641536	-0.94069576	0	0	0.38	5.0206823e-18
