# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0	-1	0	0	0.38
1.0029307194053973e-11	0.009728128	0.00043048413	-0.9747758	0	0	0.38
2.0003857196896602e-11	0.019427456	-0.0044894544	-0.9668133	0	0	0.38
3.004056054122354e-11	0.03112381	-0.028379252	-0.964272	0	0	0.38
4.003614518283238e-11	0.023752999	-0.030957786	-0.9630173	0	0	0.38
5.0012297964540104e-11	0.004053427	-0.021053784	-0.961637	0	0	0.38
6.004286194185364e-11	-0.009289427	-0.01497449	-0.957999	0	0	0.38
7.001864862681614e-11	-0.0057577067	-0.02732712	-0.9578258	0	0	0.38
8.006455430033001e-11	0.01854622	-0.014807791	-0.95483667	0	0	0.38
9.004908317648379e-11	0.029263154	-0.022562906	-0.95531654	0	0	0.38
1.0006379666265887e-10	0.028344985	-0.027028156	-0.95527476	0	0	0.38
1.1002020794412811e-10	0.02891431	-0.022955792	-0.95585567	0	0	0.38
1.2004527488000934e-10	0.022340544	-0.03226334	-0.9555587	0	0	0.38
1.3002768247195447e-10	0.043020066	-0.036242757	-0.95700246	0	0	0.38
1.4004005585156267e-10	0.026999174	-0.039195403	-0.9601533	0	0	0.38
1.500303234322235e-10	0.027906902	-0.053478625	-0.9607687	0	0	0.38
1.6005347058712024e-10	0.01978014	-0.040069938	-0.96182805	0	0	0.38
1.7005393301426407e-10	0.0166273	-0.049693014	-0.95979404	0	0	0.38
1.800576018482256e-10	0.007170708	-0.052970864	-0.9568787	0	0	0.38
1.9005305645568706e-10	0.007415875	-0.046045	-0.95657575	0	0	0.38
2.0003195170684512e-10	0.0057977396	-0.04555304	-0.957831	0	0	0.38
2.1005841828003928e-10	0.01158295	-0.022507416	-0.9539601	0	0	0.38
2.2001451467979257e-10	0.014537466	-0.02823943	-0.9539825	0	0	0.38
2.3002018747228002e-10	0.0065319478	-0.052652065	-0.9543622	0	0	0.38
2.4006484626950363e-10	0.01729735	-0.06285345	-0.9564296	0	0	0.38
2.5002744408498274e-10	0.0035218946	-0.075484805	-0.95482236	0	0	0.38
2.6001939345362973e-10	-0.007962398	-0.0706059	-0.95662624	0	0	0.38
2.7001984274622053e-10	-0.02321785	-0.061677918	-0.95346266	0	0	0.38
2.80007402135144e-10	-0.026182039	-0.06157443	-0.94801587	0	0	0.38
2.9004943224474985e-10	-0.006841749	-0.05637093	-0.9489869	0	0	0.38
3.000453646279437e-10	-0.0005829722	-0.049004525	-0.9484035	0	0	0.38
3.100140591135174e-10	0.012312006	-0.05625484	-0.9499262	0	0	0.38
3.200068368646457e-10	-0.0050011924	-0.07409197	-0.947449	0	0	0.38
3.300323130361308e-10	-0.01418443	-0.07653793	-0.9483308	0	0	0.38
3.400580371063206e-10	-0.019279758	-0.08282916	-0.94941765	0	0	0.38
3.500534516733947e-10	-0.02075586	-0.07858282	-0.9506827	0	0	0.38
3.6004948699570847e-10	-0.028315535	-0.07220128	-0.95158166	0	0	0.38
3.7001799837216704e-10	-0.011057551	-0.050246846	-0.95331305	0	0	0.38
3.8004150395044496e-10	-0.012251336	-0.041038297	-0.95265263	0	0	0.38
3.9002090092620214e-10	-0.0018455213	-0.039656717	-0.9547673	0	0	0.38
4.000013063050353e-10	0.016857987	-0.033927456	-0.9540341	0	0	0.38
4.100115041400517e-10	-0.0032354612	-0.05093194	-0.95467967	0	0	0.38
4.2003927481236747e-10	-0.003745856	-0.059637237	-0.95380163	0	0	0.38
