# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.079517126	-0.030531928	-0.9388933	0	0	0.32
2e-09	-0.14230846	0.038685884	-0.94555354	0	0	0.33
3.0000000000000004e-09	-0.095047876	0.0074747596	-0.9509368	0	0	0.34
4e-09	0.15554303	-0.30139828	0.47404012	0	0	0.35
5e-09	-0.0131973475	0.044437878	0.9656824	0	0	0.36
6e-09	0.025146605	-0.008939536	0.96566224	0	0	0.37
7e-09	0.033647224	0.009503011	0.96976066	0	0	0.38
8e-09	0.012622887	0.0025734822	0.96953785	0	0	0.39
9.000000000000001e-09	-0.049674105	0.013201465	0.96514356	0	0	0.4
1.0000000000000002e-08	0.028667284	-0.02854908	0.96599895	0	0	0.41
1.1000000000000003e-08	0.028082393	-0.007300485	0.969296	0	0	0.42
