# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.04673398	-0.06749165	-0.94643956	0	0	0.32
2e-09	0.0067943064	0.045942254	-0.95740116	0	0	0.33
3.0000000000000004e-09	0.011179371	-0.028316263	-0.9543689	0	0	0.34
4e-09	-0.09429138	0.16983977	-0.9281327	0	0	0.35
5e-09	0.2298243	-0.23811984	0.122409575	0	0	0.36
6e-09	-0.027451463	0.005510277	0.9692433	0	0	0.37
7e-09	-0.007444338	-0.012521345	0.968328	0	0	0.38
8e-09	0.041880477	0.046073407	0.9640968	0	0	0.39
9.000000000000001e-09	-0.0038871195	-0.010137578	0.96662456	0	0	0.4
1.0000000000000002e-08	0.01172908	-0.021439347	0.96781284	0	0	0.41
1.1000000000000003e-08	-0.012987744	-0.011848501	0.9663507	0	0	0.42
