# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.13355845	-0.021141235	-0.9353832	0	0	0.32
2e-09	0.016767427	0.049475707	-0.9536919	0	0	0.33
3.0000000000000004e-09	0.02536736	-0.119687304	-0.9385272	0	0	0.34
4e-09	-0.053254455	-0.0076901	-0.9365561	0	0	0.35
5e-09	0.045519575	-0.22352019	-0.90552235	0	0	0.36
6e-09	-0.17802453	-0.1650204	-0.91567355	0	0	0.37
7e-09	0.024871279	0.02746869	0.9669204	0	0	0.38
8e-09	-0.0152357165	-0.0057287808	0.9712356	0	0	0.39
9.000000000000001e-09	0.008883346	0.040132653	0.9656257	0	0	0.4
1.0000000000000002e-08	0.014662876	-0.014506208	0.964331	0	0	0.41
1.1000000000000003e-08	-0.042928338	0.012900686	0.9650978	0	0	0.42
