# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.07133133	-0.019543428	-0.95604086	0	0	0.32
2e-09	0.05749549	-0.03439979	-0.95081985	0	0	0.33
3.0000000000000004e-09	-0.14262202	-0.0857843	-0.93225116	0	0	0.34
4e-09	0.19675219	0.08701868	-0.9197213	0	0	0.35
5e-09	-0.048625737	-0.012523977	0.9679305	0	0	0.36
6e-09	0.021012222	-0.03269703	0.9678391	0	0	0.37
7e-09	0.0020378819	-0.01387535	0.96748704	0	0	0.38
8e-09	0.031614326	-0.010062859	0.9670759	0	0	0.39
9.000000000000001e-09	-0.024138313	0.016736362	0.96709466	0	0	0.4
1.0000000000000002e-08	0.012154487	-0.019801393	0.9652047	0	0	0.41
1.1000000000000003e-08	-0.022245541	0.0012438623	0.9687727	0	0	0.42
