# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.052152317	0.06631051	-0.94647545	0	0	0.32
2e-09	0.027501868	0.06782247	-0.9508904	0	0	0.33
3.0000000000000004e-09	-0.025005909	-0.13488996	-0.9422646	0	0	0.34
4e-09	-0.11508972	-0.07144621	-0.93679744	0	0	0.35
5e-09	-0.08884718	0.17713237	-0.9292111	0	0	0.36
6e-09	-0.20492855	-0.11398651	-0.91688657	0	0	0.37
7e-09	-0.035069205	0.0062613753	0.9661357	0	0	0.38
8e-09	-0.0017077206	0.043480136	0.9668663	0	0	0.39
9.000000000000001e-09	-0.040935595	0.008958403	0.9690906	0	0	0.4
1.0000000000000002e-08	0.0069608954	0.056929164	0.96651965	0	0	0.41
1.1000000000000003e-08	0.015602161	0.006935127	0.96794754	0	0	0.42
