# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.1171681	-0.121039875	-0.9303037	0	0	0.32
2e-09	-0.015750367	-0.1435207	-0.9445914	0	0	0.33
3.0000000000000004e-09	0.09756545	-0.111835316	-0.93554366	0	0	0.34
4e-09	0.023163602	0.10313507	-0.9553414	0	0	0.35
5e-09	-0.17149146	-0.17884469	-0.90888774	0	0	0.36
6e-09	-0.03261422	0.03754744	0.96703637	0	0	0.37
7e-09	-0.030695194	0.030227354	0.9673608	0	0	0.38
8e-09	0.014590578	0.005453419	0.9667286	0	0	0.39
9.000000000000001e-09	-0.0031946078	-0.026811853	0.96904755	0	0	0.4
1.0000000000000002e-08	0.011669792	-0.003622745	0.96912634	0	0	0.41
1.1000000000000003e-08	-0.012513805	-0.008571099	0.9673476	0	0	0.42
