# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.061914045	0.004269096	-0.9518263	0	0	0.32
2e-09	-0.04574529	-0.032602303	-0.94786286	0	0	0.33
3.0000000000000004e-09	0.07684096	0.058813788	-0.9564985	0	0	0.34
4e-09	-0.012827117	0.121668786	-0.9510511	0	0	0.35
5e-09	-0.07216838	-0.059127077	-0.95036983	0	0	0.36
6e-09	0.041438565	0.114527866	-0.95158195	0	0	0.37
7e-09	0.26194137	-0.28718293	0.73261774	0	0	0.38
8e-09	-0.027311089	0.0036969204	0.9681967	0	0	0.39
9.000000000000001e-09	-0.028563451	0.037565112	0.9656427	0	0	0.4
1.0000000000000002e-08	0.030969694	0.012964623	0.96745217	0	0	0.41
1.1000000000000003e-08	-0.021626994	0.008452353	0.9687327	0	0	0.42
