# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.028058264	-0.10692061	-0.94633687	0	0	0.32
2e-09	-0.027640373	-0.05463048	-0.95619977	0	0	0.33
3.0000000000000004e-09	-0.032926396	-0.07246612	-0.95358354	0	0	0.34
4e-09	-0.08942072	-0.009497511	-0.94912326	0	0	0.35
5e-09	-0.12802963	-0.15521634	-0.92007995	0	0	0.36
6e-09	0.0045068245	-0.118876845	-0.941823	0	0	0.37
7e-09	-0.026319243	0.056391567	0.9679307	0	0	0.38
8e-09	0.010730934	0.02558843	0.9677043	0	0	0.39
9.000000000000001e-09	0.0033079388	-0.014881243	0.9682621	0	0	0.4
1.0000000000000002e-08	-0.0004004687	0.04704695	0.9669312	0	0	0.41
1.1000000000000003e-08	0.031982295	-0.0025354438	0.9677006	0	0	0.42
