# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.015911028	0.09522255	-0.94945216	0	0	0.32
2e-09	0.033233024	0.06529875	-0.94944257	0	0	0.33
3.0000000000000004e-09	0.00026558153	0.0007509552	-0.95253974	0	0	0.34
4e-09	0.14012668	0.043666318	-0.94741726	0	0	0.35
5e-09	0.2584522	0.046620373	-0.9069637	0	0	0.36
6e-09	-0.030262716	-0.022148695	0.96573126	0	0	0.37
7e-09	-0.008560406	0.02230744	0.9652017	0	0	0.38
8e-09	-0.003906573	-0.018285073	0.9698939	0	0	0.39
9.000000000000001e-09	-0.055379525	0.021853643	0.96411324	0	0	0.4
1.0000000000000002e-08	0.029383011	-0.0045648697	0.9686966	0	0	0.41
1.1000000000000003e-08	0.003845131	-0.034736548	0.9669409	0	0	0.42
