# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.012954092	0.10625157	-0.94707155	0	0	0.32
2e-09	-0.07315235	-0.0074038953	-0.94610214	0	0	0.33
3.0000000000000004e-09	0.10305412	-0.0025138753	-0.9513259	0	0	0.34
4e-09	0.002585642	-0.118044615	-0.94062686	0	0	0.35
5e-09	-0.009279335	-0.20078382	-0.9260719	0	0	0.36
6e-09	0.056082316	0.5374789	-0.710715	0	0	0.37
7e-09	0.028674169	0.0034975158	0.9650259	0	0	0.38
8e-09	-0.0024409364	-0.02545975	0.9679159	0	0	0.39
9.000000000000001e-09	-0.007864474	-0.0011656391	0.9703404	0	0	0.4
1.0000000000000002e-08	0.024832677	0.026676148	0.9662476	0	0	0.41
1.1000000000000003e-08	-0.03263258	-0.017627155	0.96750087	0	0	0.42
