# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.41	1.3250005e-18
1.0015559263093423e-11	-0.0031691801	-0.0060597635	-0.97615075	0	0	0.41	4.267758e-18
2.003923788017423e-11	-0.011251021	-0.0035717033	-0.967596	0	0	0.41	4.2590856e-18
3.00146578692878e-11	-0.001673342	0.003148187	-0.9668504	0	0	0.41	5.0590693e-18
4.003524294383777e-11	-0.010331209	-0.003082552	-0.96369237	0	0	0.41	5.3281094e-18
5.0026263552807e-11	-0.01674068	0.0017202582	-0.96343094	0	0	0.41	4.103196e-18
6.001275120991497e-11	-0.014903106	-0.017390955	-0.9607772	0	0	0.41	5.055781e-18
7.00367641863493e-11	-0.00678217	-0.019658858	-0.9556062	0	0	0.41	4.6678906e-18
8.002034413229868e-11	0.019603359	-0.022159394	-0.9572766	0	0	0.41	3.466513e-18
9.00084797372276e-11	0.028457789	-0.025503412	-0.9560189	0	0	0.41	5.1561377e-18
1.000170725386278e-10	0.027643686	-0.008465946	-0.95676327	0	0	0.41	5.5766354e-18
1.1005883599039715e-10	0.01564078	-0.005410968	-0.9563188	0	0	0.41	4.487593e-18
1.200273889801258e-10	0.023448734	-0.01861657	-0.95264816	0	0	0.41	5.7048418e-18
1.300602754059877e-10	0.026929604	-0.030864377	-0.9554119	0	0	0.41	5.348282e-18
1.4006500039235086e-10	0.03561589	-0.035381112	-0.9536916	0	0	0.41	4.9268693e-18
1.5005821456660697e-10	0.029961549	-0.03131296	-0.955457	0	0	0.41	3.8881633e-18
1.6001832587225765e-10	0.02390769	-0.046069458	-0.95102245	0	0	0.41	5.7987772e-18
1.7006172711194246e-10	0.0237249	-0.0462158	-0.9469474	0	0	0.41	4.458875e-18
1.8004869539602096e-10	0.024245469	-0.05131009	-0.9471494	0	0	0.41	3.930158e-18
1.900158162313778e-10	0.028994245	-0.054048803	-0.9453848	0	0	0.41	4.89076e-18
2.0002263450785504e-10	0.046683002	-0.062451836	-0.9455589	0	0	0.41	4.768992e-18
2.1002227168121093e-10	0.043442152	-0.081264414	-0.9496083	0	0	0.41	4.120451e-18
2.2000027539113672e-10	0.028785659	-0.08606489	-0.9482506	0	0	0.41	4.3893967e-18
2.3001565014640878e-10	0.017115936	-0.0912621	-0.94980776	0	0	0.41	4.0217463e-18
2.4005284481142704e-10	-0.0072584925	-0.069103666	-0.9552024	0	0	0.41	3.780809e-18
2.500095273775809e-10	-0.012920382	-0.043897104	-0.9528153	0	0	0.41	3.9810036e-18
2.6006001082789703e-10	0.0080079455	-0.042920306	-0.95047015	0	0	0.41	5.0957146e-18
2.700204899893893e-10	0.004237016	-0.04360778	-0.9522771	0	0	0.41	4.3618623e-18
2.800260525391571e-10	0.02001218	-0.05081623	-0.9535891	0	0	0.41	4.5931855e-18
2.9001720476546525e-10	0.036997557	-0.043246485	-0.9477953	0	0	0.41	3.6335335e-18
3.000067683924055e-10	0.023347052	-0.05142414	-0.9455982	0	0	0.41	5.880673e-18
3.100289201312305e-10	0.007931895	-0.059379835	-0.94976944	0	0	0.41	4.4525135e-18
3.200398549200266e-10	0.011586783	-0.05473534	-0.95124733	0	0	0.41	4.473551e-18
3.3003775264167624e-10	-0.002025568	-0.03672523	-0.9470912	0	0	0.41	5.0488627e-18
3.4003300663985626e-10	-0.0025304907	-0.028459325	-0.94526386	0	0	0.41	4.3690634e-18
3.500463058682288e-10	-0.021374246	-0.020501215	-0.94466215	0	0	0.41	4.6112647e-18
3.600131275652178e-10	0.006073245	-0.013447646	-0.94581854	0	0	0.41	5.593365e-18
3.700461546602121e-10	0.014535787	-0.009888666	-0.9480034	0	0	0.41	4.4021332e-18
3.8005513284523144e-10	0.016280103	-0.015275825	-0.94461614	0	0	0.41	5.570029e-18
3.9005362649217906e-10	0.019185454	-0.019176923	-0.9477161	0	0	0.41	4.4848566e-18
4.0002932597353875e-10	0.016308721	-0.012775165	-0.94647926	0	0	0.41	3.4185658e-18
4.100198095761605e-10	-0.008996754	-0.00079994363	-0.94628215	0	0	0.41	4.7153336e-18
4.20033744656033e-10	-0.017535096	0.015942445	-0.94315374	0	0	0.41	4.4574526e-18
4.3000831944659855e-10	-0.020598851	0.041398715	-0.9429981	0	0	0.41	4.2599355e-18
4.4002325936875205e-10	-0.018496592	0.036992062	-0.9393319	0	0	0.41	5.0871128e-18
4.50050199805963e-10	-0.017819725	0.032421537	-0.93748814	0	0	0.41	4.533942e-18
4.6002904281470297e-10	-0.011130228	0.021282107	-0.9393491	0	0	0.41	5.158402e-18
4.700059937753794e-10	-0.0058831535	0.006621478	-0.94555897	0	0	0.41	4.7757967e-18
4.800593776047918e-10	-0.0026200546	-0.0021506764	-0.946718	0	0	0.41	5.1426116e-18
4.900129994750811e-10	-0.0047567054	-0.023134222	-0.9426519	0	0	0.41	5.5758057e-18
5.000599476137439e-10	-0.011260253	-0.032200996	-0.9384123	0	0	0.41	4.0652006e-18
