# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.39	1.17474e-18
1.0047563378991563e-11	-0.0024806315	0.013651316	-0.975635	0	0	0.39	5.402963e-18
2.001945530466129e-11	-0.0054382603	0.014432015	-0.9676729	0	0	0.39	4.2348384e-18
3.003091838829592e-11	0.0059408396	0.015106899	-0.9649965	0	0	0.39	4.818977e-18
4.000146657761373e-11	0.022683887	0.010566031	-0.9653975	0	0	0.39	4.156009e-18
5.001443604643655e-11	0.0077036815	0.013707242	-0.9645104	0	0	0.39	4.5706915e-18
6.001691812910538e-11	-0.01055876	0.028705344	-0.9621722	0	0	0.39	5.5388667e-18
7.000515577187824e-11	-0.0029663576	0.042850133	-0.9624933	0	0	0.39	4.972591e-18
8.000803190437596e-11	-0.00953102	0.045547344	-0.95876926	0	0	0.39	4.391765e-18
9.003185860391898e-11	-0.017582737	0.048713516	-0.95784175	0	0	0.39	4.4108066e-18
1.0002706223692351e-10	-0.021436652	0.0765347	-0.95613796	0	0	0.39	4.351728e-18
1.1000913557601809e-10	-0.012030953	0.084421925	-0.95490503	0	0	0.39	4.191515e-18
1.2003409683826642e-10	-0.0023885267	0.08133256	-0.95366156	0	0	0.39	3.988591e-18
1.300033853135059e-10	0.028912527	0.069496706	-0.9545335	0	0	0.39	5.0812973e-18
1.400108455278504e-10	0.03506005	0.07820697	-0.950453	0	0	0.39	3.358623e-18
1.5000562942628728e-10	0.03881594	0.05829381	-0.94949985	0	0	0.39	5.2207103e-18
1.600447980699795e-10	0.04099691	0.04557406	-0.95307165	0	0	0.39	3.805136e-18
1.7000746362100177e-10	0.04050352	0.04842378	-0.9487789	0	0	0.39	5.056273e-18
1.800093922833129e-10	0.031293076	0.027878864	-0.9518738	0	0	0.39	4.207116e-18
1.900149766031103e-10	0.0451616	0.0328183	-0.94629043	0	0	0.39	5.677256e-18
2.0002440509859853e-10	0.060053788	0.025025565	-0.94717425	0	0	0.39	4.336275e-18
2.1004077217024063e-10	0.090962656	0.027765237	-0.9436352	0	0	0.39	4.4718803e-18
2.2003119774950823e-10	0.10538367	0.029683216	-0.9455849	0	0	0.39	4.870445e-18
2.30052203116101e-10	0.117347606	0.026808191	-0.9419455	0	0	0.39	4.186059e-18
2.4002864216577855e-10	0.120774075	0.016628511	-0.9399586	0	0	0.39	4.2700747e-18
2.5001370513017694e-10	0.11716332	0.00847202	-0.9405558	0	0	0.39	6.152451e-18
2.6005675022393297e-10	0.11582802	0.01201658	-0.94432724	0	0	0.39	4.362939e-18
2.700148775162035e-10	0.10022196	0.0019926403	-0.94560033	0	0	0.39	4.9820836e-18
2.800310558680527e-10	0.11521782	0.022755118	-0.9458319	0	0	0.39	3.9082063e-18
2.90031211660515e-10	0.1277227	0.024282554	-0.94074404	0	0	0.39	3.9821107e-18
3.000077423834534e-10	0.14851712	0.01759092	-0.9383787	0	0	0.39	4.4646424e-18
3.100036596296122e-10	0.1483245	0.010392833	-0.93505055	0	0	0.39	4.9322422e-18
3.200071588540087e-10	0.14920805	0.009777713	-0.9345709	0	0	0.39	4.9532688e-18
3.3003172657958987e-10	0.13289359	-0.0031298434	-0.9364081	0	0	0.39	4.534676e-18
3.400121072907664e-10	0.13263142	-0.006208906	-0.9404748	0	0	0.39	3.6807043e-18
3.500552568509243e-10	0.13898727	-0.02155565	-0.9415127	0	0	0.39	4.643772e-18
3.600018664096637e-10	0.11725293	-0.01876342	-0.93950266	0	0	0.39	5.0656557e-18
3.7003210884492484e-10	0.12016603	-0.001449922	-0.94615406	0	0	0.39	4.715658e-18
3.800599820752113e-10	0.12809302	0.0029494867	-0.9466258	0	0	0.39	5.126766e-18
3.9002427301341536e-10	0.128236	-0.010143646	-0.945974	0	0	0.39	4.406219e-18
4.000077623867603e-10	0.13064088	-0.021333674	-0.94422376	0	0	0.39	5.35056e-18
4.1005145631138414e-10	0.12141638	-0.030718131	-0.9453275	0	0	0.39	4.1479745e-18
4.200371658444887e-10	0.11487649	-0.023141997	-0.9454363	0	0	0.39	6.0751974e-18
4.3001323011523113e-10	0.09721662	-0.030441778	-0.95028853	0	0	0.39	4.5734357e-18
4.400652742301986e-10	0.09458701	-0.024512198	-0.95244765	0	0	0.39	3.7453936e-18
4.5004841909979056e-10	0.097423576	-0.0292039	-0.9486014	0	0	0.39	4.1329997e-18
4.600566591771667e-10	0.09421266	-0.018267691	-0.9483545	0	0	0.39	3.7123204e-18
4.700041604508761e-10	0.111974634	-0.037994985	-0.94493985	0	0	0.39	4.358599e-18
4.800040382186975e-10	0.09756038	-0.053691864	-0.94392145	0	0	0.39	5.0643802e-18
4.900549638222872e-10	0.09039804	-0.06804073	-0.9469791	0	0	0.39	4.9406237e-18
5.000146095695166e-10	0.059222173	-0.066600405	-0.9487828	0	0	0.39	4.855837e-18
5.100368815640717e-10	0.059401173	-0.07264364	-0.94449997	0	0	0.39	4.1793197e-18
5.200138672464838e-10	0.05837324	-0.071582384	-0.9429754	0	0	0.39	5.2446282e-18
5.300629634707635e-10	0.03922175	-0.07069059	-0.9444651	0	0	0.39	4.2756862e-18
5.400401884379132e-10	0.029819662	-0.071623236	-0.94523555	0	0	0.39	5.2620466e-18
