# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.39	1.17474e-18
1.0033893074637786e-11	0.004143537	0.007644409	-0.9764652	0	0	0.39	3.596062e-18
2.0038619404869593e-11	0.01598858	0.018491926	-0.96996534	0	0	0.39	4.3900175e-18
3.0060327399880006e-11	0.032656197	0.013090566	-0.9664669	0	0	0.39	3.9146327e-18
4.003994696807402e-11	0.016205907	0.023342285	-0.9646897	0	0	0.39	4.5725717e-18
5.001724817845794e-11	0.014353918	0.040298834	-0.96300113	0	0	0.39	5.820023e-18
6.00373976213516e-11	0.017640844	0.046944782	-0.9602546	0	0	0.39	4.6934894e-18
7.005492254940636e-11	0.04295351	0.027422313	-0.95843416	0	0	0.39	4.178721e-18
8.001223272673651e-11	0.05318528	0.014082413	-0.96098924	0	0	0.39	4.3809487e-18
9.006188152066964e-11	0.053828496	0.0028611328	-0.9623814	0	0	0.39	3.6451765e-18
1.0000401670729873e-10	0.0539156	-0.011838799	-0.9632618	0	0	0.39	4.5303975e-18
1.1002924926913547e-10	0.042404782	-0.012692307	-0.9614623	0	0	0.39	3.8830095e-18
1.200139383757772e-10	0.051874425	-0.013172009	-0.96040636	0	0	0.39	5.7446176e-18
1.3001243333694308e-10	0.05177867	-0.02925375	-0.9601809	0	0	0.39	4.154729e-18
1.4001151575366782e-10	0.050034426	-0.045916196	-0.95672697	0	0	0.39	4.374065e-18
1.5003027226516327e-10	0.045437273	-0.041510977	-0.9560706	0	0	0.39	4.720691e-18
1.6006391666731976e-10	0.039497532	-0.04115625	-0.9536822	0	0	0.39	4.982958e-18
1.7002555101859885e-10	0.047499362	-0.026589673	-0.95586693	0	0	0.39	5.247119e-18
1.8000632157123139e-10	0.03374506	-0.022916062	-0.95616543	0	0	0.39	4.792701e-18
1.9000953448068823e-10	0.054399095	-0.031654444	-0.95624787	0	0	0.39	4.996259e-18
2.0000106907488985e-10	0.05727083	-0.025824757	-0.9537184	0	0	0.39	5.0377078e-18
2.100206949432634e-10	0.03708836	-0.047651224	-0.9541277	0	0	0.39	5.045155e-18
2.2001602833142133e-10	0.050238777	-0.047105085	-0.95603245	0	0	0.39	4.9136592e-18
2.3004039088046714e-10	0.044844065	-0.0673332	-0.9551417	0	0	0.39	5.4191166e-18
2.400605646731059e-10	0.038826413	-0.09028961	-0.9539945	0	0	0.39	3.863022e-18
2.500111310711433e-10	0.022827812	-0.08682585	-0.9521573	0	0	0.39	5.1394477e-18
2.600490517316197e-10	0.010557241	-0.096988715	-0.9515827	0	0	0.39	4.6285193e-18
2.7006242967620523e-10	0.004300376	-0.11623022	-0.95134914	0	0	0.39	3.2786052e-18
2.800131969556822e-10	-0.0010984989	-0.11895628	-0.94962573	0	0	0.39	3.993286e-18
2.9006678693280016e-10	-0.015660286	-0.10504299	-0.9496905	0	0	0.39	3.653263e-18
3.0003116961567724e-10	-0.029854333	-0.09630607	-0.9469263	0	0	0.39	4.700795e-18
3.1001352438288556e-10	-0.028679278	-0.08061068	-0.94669676	0	0	0.39	5.0135086e-18
3.2001198865069517e-10	-0.03975557	-0.08505851	-0.95080155	0	0	0.39	4.3757197e-18
3.3005158281087973e-10	-0.024702735	-0.084540024	-0.95178366	0	0	0.39	4.18743e-18
3.4002115529106346e-10	-0.021949425	-0.08959959	-0.9505439	0	0	0.39	5.0900323e-18
3.5002839067440335e-10	-0.028949682	-0.096738026	-0.95253146	0	0	0.39	3.6806125e-18
3.600302517110697e-10	-0.029791454	-0.09713349	-0.95195735	0	0	0.39	5.0042227e-18
3.7000786905699277e-10	-0.044041153	-0.07413273	-0.95257545	0	0	0.39	4.7350565e-18
3.800168292907934e-10	-0.05941794	-0.05996333	-0.9524901	0	0	0.39	4.2723887e-18
3.9001077540745394e-10	-0.05126486	-0.03595807	-0.95036745	0	0	0.39	4.0673898e-18
4.0003025630264316e-10	-0.02247291	-0.03783515	-0.9511696	0	0	0.39	4.3404247e-18
4.100611971538586e-10	-0.010731203	-0.028260855	-0.95488405	0	0	0.39	4.5605213e-18
4.2002293222637377e-10	-0.021551816	-0.050160877	-0.9559369	0	0	0.39	5.2399026e-18
4.300472773596816e-10	-0.037397847	-0.06661376	-0.9546348	0	0	0.39	4.7111447e-18
4.4004262539639604e-10	-0.05277098	-0.06382099	-0.9541975	0	0	0.39	5.1485434e-18
4.500287471567793e-10	-0.08297365	-0.047468156	-0.9523206	0	0	0.39	4.5311374e-18
4.600530585169727e-10	-0.09466049	-0.034282763	-0.94923633	0	0	0.39	4.588378e-18
4.700370984521133e-10	-0.10358058	-0.024795251	-0.9485355	0	0	0.39	5.2700996e-18
4.800541132516081e-10	-0.079564534	-0.02040546	-0.95102954	0	0	0.39	4.590126e-18
4.90012503272605e-10	-0.05678448	-0.01386404	-0.95416903	0	0	0.39	3.9161042e-18
5.000011370877709e-10	-0.022981698	-0.011251085	-0.95257604	0	0	0.39	4.320215e-18
5.100013070865198e-10	-0.029272141	-0.029418264	-0.9499767	0	0	0.39	3.543808e-18
5.200173002112272e-10	-0.049746867	-0.055112988	-0.95100254	0	0	0.39	4.463096e-18
5.300606912809373e-10	-0.07611672	-0.047102675	-0.94704914	0	0	0.39	4.4749383e-18
