# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.38	1.0996098e-18
1.0014494087923233e-11	-0.0022672853	0.0065306015	-0.97288597	0	0	0.38	4.171237e-18
2.000512943556358e-11	0.019531967	-0.014455761	-0.9705465	0	0	0.38	4.0997185e-18
3.000594808007825e-11	0.011962309	-0.0021727257	-0.96908116	0	0	0.38	3.880903e-18
4.0031775950556217e-11	0.013995832	-0.00827435	-0.96325374	0	0	0.38	4.4373413e-18
5.0013238121254123e-11	-0.0056734798	0.0026573706	-0.96398616	0	0	0.38	4.6068455e-18
6.001000242654663e-11	0.00040926016	0.022948042	-0.9619907	0	0	0.38	4.438562e-18
7.004527881373236e-11	0.00997503	0.035150517	-0.95730644	0	0	0.38	4.2099457e-18
8.002099268774384e-11	0.033050776	0.037230827	-0.95866704	0	0	0.38	4.7238022e-18
9.003349931487193e-11	0.03747404	0.024382945	-0.95513207	0	0	0.38	5.28242e-18
1.000090394402458e-10	0.04437634	0.02512188	-0.9561661	0	0	0.38	4.214507e-18
1.1005427130397735e-10	0.04213184	0.019594157	-0.95670515	0	0	0.38	4.8702922e-18
1.2000815302911078e-10	0.043346893	0.0114573585	-0.9573089	0	0	0.38	3.591384e-18
1.3001109849932657e-10	0.03454719	-0.002369594	-0.9595051	0	0	0.38	4.3946716e-18
1.4000406974118345e-10	0.026478669	-0.013272187	-0.9564374	0	0	0.38	3.6349852e-18
1.500048250197758e-10	0.044408508	-0.011179907	-0.95522636	0	0	0.38	4.7806205e-18
1.600604545163484e-10	0.02466988	-0.003912381	-0.95178974	0	0	0.38	3.67967e-18
1.7000135922861315e-10	0.032615736	0.0072027054	-0.9532303	0	0	0.38	4.928528e-18
1.800030425323113e-10	0.033148456	0.0008973429	-0.9503619	0	0	0.38	4.716154e-18
1.9006099434151876e-10	0.046280723	-0.014524419	-0.9486044	0	0	0.38	4.574772e-18
2.0000659704152623e-10	0.055589695	-0.02878666	-0.9502698	0	0	0.38	3.707841e-18
2.1001795011944887e-10	0.05332013	-0.054854557	-0.9431607	0	0	0.38	3.85776e-18
2.200335479421079e-10	0.03065836	-0.053444725	-0.94508773	0	0	0.38	4.659066e-18
2.300445658426961e-10	0.010300096	-0.040721267	-0.9469427	0	0	0.38	3.675037e-18
2.4000257980625203e-10	0.009020046	-0.026948381	-0.9488543	0	0	0.38	3.781894e-18
2.500319535188536e-10	0.019147255	-0.026204893	-0.9446685	0	0	0.38	4.6705926e-18
2.600495420953724e-10	0.031047976	-0.014980446	-0.94658923	0	0	0.38	3.680255e-18
2.700268040548225e-10	0.045648992	-0.028282499	-0.9433663	0	0	0.38	3.771012e-18
2.8002898040876187e-10	0.058241747	-0.038417254	-0.9478464	0	0	0.38	4.445377e-18
2.9006136023272467e-10	0.03189524	-0.05083315	-0.9491513	0	0	0.38	4.491814e-18
3.0002958833329226e-10	0.024391912	-0.06645673	-0.94952875	0	0	0.38	4.5500927e-18
3.1001471452615074e-10	0.0022662121	-0.04748519	-0.95082295	0	0	0.38	6.1333064e-18
3.2004987499230154e-10	-0.016480988	-0.03285136	-0.9511004	0	0	0.38	3.967401e-18
3.3006102063689246e-10	-0.012406402	-0.020413024	-0.9527113	0	0	0.38	4.410577e-18
3.400388285856335e-10	-0.001960816	-0.017364547	-0.94900626	0	0	0.38	4.7236616e-18
3.500362101246148e-10	0.0005007612	-0.023691418	-0.9459583	0	0	0.38	5.0516884e-18
3.600423873921757e-10	0.013834099	-0.02556665	-0.9499261	0	0	0.38	4.6510885e-18
3.7001288688168724e-10	0.0120727485	-0.026020575	-0.949994	0	0	0.38	4.8172124e-18
3.800376909330821e-10	-0.003331485	-0.04070104	-0.9511537	0	0	0.38	4.7475816e-18
3.900315516917205e-10	-0.033997085	-0.04590553	-0.950853	0	0	0.38	3.4379386e-18
4.0002194262219314e-10	-0.0466301	-0.03924641	-0.949673	0	0	0.38	4.120869e-18
4.100184848027211e-10	-0.075607605	-0.009761639	-0.9466377	0	0	0.38	4.66406e-18
4.2006129235953865e-10	-0.091267414	0.0018688234	-0.9508877	0	0	0.38	4.2668975e-18
4.300042134026305e-10	-0.07414501	0.0020544915	-0.950218	0	0	0.38	5.1904496e-18
4.4005615521342233e-10	-0.06294746	0.0059045865	-0.9506517	0	0	0.38	4.6375836e-18
4.500583057731868e-10	-0.063580856	0.007495318	-0.9470845	0	0	0.38	4.7259235e-18
4.600411800000158e-10	-0.06899589	0.020261789	-0.94896376	0	0	0.38	5.1261954e-18
4.700327331675024e-10	-0.064647004	0.01074335	-0.947601	0	0	0.38	4.6077244e-18
4.800556727577708e-10	-0.087189116	0.013354166	-0.95165503	0	0	0.38	4.6581336e-18
4.900401503938633e-10	-0.102354296	0.023865052	-0.9477031	0	0	0.38	4.8322642e-18
5.000330672309178e-10	-0.108957425	0.03331103	-0.94508165	0	0	0.38	4.4572933e-18
5.100108720728007e-10	-0.10900295	0.034897726	-0.94301426	0	0	0.38	5.1025178e-18
5.200131200569113e-10	-0.09411469	0.03979094	-0.94525194	0	0	0.38	5.459232e-18
5.300080426705658e-10	-0.07613789	0.045593094	-0.94318825	0	0	0.38	4.6488316e-18
5.400583579713241e-10	-0.060363792	0.060590822	-0.94268966	0	0	0.38	4.8772955e-18
5.500044078949429e-10	-0.034195986	0.054240473	-0.94594306	0	0	0.38	4.4773827e-18
5.600305365472552e-10	-0.040968	0.03995469	-0.94284725	0	0	0.38	4.781622e-18
5.70064528424952e-10	-0.051457528	0.0310865	-0.9430493	0	0	0.38	3.9867947e-18
5.800133510577124e-10	-0.066730425	0.06776112	-0.9406755	0	0	0.38	4.398038e-18
5.900008459998225e-10	-0.069138125	0.060422324	-0.94091505	0	0	0.38	4.8234593e-18
6.000015478628179e-10	-0.08390775	0.07517469	-0.9385782	0	0	0.38	5.1628573e-18
6.100385892189881e-10	-0.07435759	0.08431201	-0.94268817	0	0	0.38	4.822081e-18
6.200403710691561e-10	-0.051131334	0.076119035	-0.9460873	0	0	0.38	3.2736409e-18
6.300232045067463e-10	-0.06288383	0.063185535	-0.9468239	0	0	0.38	5.403961e-18
6.400454809236123e-10	-0.03838977	0.059045643	-0.9477402	0	0	0.38	4.7229196e-18
6.500555932714467e-10	-0.03536396	0.055355538	-0.94887966	0	0	0.38	4.474441e-18
6.600339579380426e-10	-0.016648537	0.055986356	-0.95000243	0	0	0.38	5.1119088e-18
6.700233564195508e-10	-0.015009551	0.048440956	-0.9481431	0	0	0.38	3.991727e-18
6.800316134379652e-10	-0.016536536	0.05348009	-0.94899654	0	0	0.38	4.8023435e-18
6.900582415404227e-10	-0.036218386	0.06774774	-0.9475487	0	0	0.38	4.4741376e-18
7.000521032403262e-10	-0.035522226	0.07598644	-0.9483974	0	0	0.38	4.315421e-18
7.100360573883242e-10	-0.026648851	0.083333544	-0.9469969	0	0	0.38	4.217767e-18
7.200389029227877e-10	-0.019143036	0.09628403	-0.9455028	0	0	0.38	5.1175224e-18
7.300405994655238e-10	-0.011355503	0.10309763	-0.94520664	0	0	0.38	5.3427736e-18
7.40013543493973e-10	0.0032849582	0.07926612	-0.94485754	0	0	0.38	4.502486e-18
7.500237012650045e-10	0.0069247726	0.088071905	-0.9489265	0	0	0.38	3.724125e-18
7.60019839101445e-10	0.0038929493	0.07248154	-0.9469213	0	0	0.38	4.6849417e-18
7.70046920641488e-10	-0.004526031	0.07572106	-0.95096105	0	0	0.38	5.6565754e-18
7.800200825286629e-10	0.0024925664	0.08934478	-0.9526776	0	0	0.38	5.047814e-18
7.9005368849737e-10	0.012055958	0.100283355	-0.95205015	0	0	0.38	4.5613047e-18
8.000299994702417e-10	0.023532262	0.1244312	-0.95234126	0	0	0.38	4.4400417e-18
8.10007971428591e-10	0.026358327	0.13859077	-0.9468251	0	0	0.38	5.5083223e-18
8.200115794726147e-10	0.036638603	0.13177253	-0.94780725	0	0	0.38	4.7257267e-18
8.300143213046458e-10	0.050449032	0.116268136	-0.9502681	0	0	0.38	5.271098e-18
8.400455251814622e-10	0.049174055	0.09098193	-0.9497506	0	0	0.38	4.6867723e-18
8.500273523625103e-10	0.07132879	0.070142254	-0.94342536	0	0	0.38	4.749334e-18
8.600166871672106e-10	0.070253305	0.056837317	-0.9431726	0	0	0.38	3.4394379e-18
8.700565941972287e-10	0.056503344	0.04649646	-0.941266	0	0	0.38	4.62829e-18
8.80017677670198e-10	0.06229316	0.05114171	-0.9415876	0	0	0.38	4.7359047e-18
8.900191536397994e-10	0.06129824	0.048541103	-0.9460791	0	0	0.38	5.1006877e-18
9.000346411237672e-10	0.05970973	0.05007979	-0.94407374	0	0	0.38	5.086274e-18
9.100264187670696e-10	0.073221676	0.047084898	-0.9422694	0	0	0.38	4.1683517e-18
9.200515777854268e-10	0.070392944	0.04318639	-0.94451815	0	0	0.38	3.7159116e-18
9.300556041902034e-10	0.080404244	0.012597575	-0.94645077	0	0	0.38	3.3915021e-18
9.400563680727396e-10	0.07785353	0.006275226	-0.9467561	0	0	0.38	5.0151547e-18
9.500002886163447e-10	0.054007582	-0.0024208494	-0.94983745	0	0	0.38	4.3228178e-18
9.60019503499638e-10	0.043899197	-0.013510218	-0.94888544	0	0	0.38	4.5882935e-18
9.700316319353038e-10	0.024348231	-0.008713872	-0.95289296	0	0	0.38	4.4050254e-18
9.800229733947632e-10	0.031971134	-0.009470964	-0.9533672	0	0	0.38	4.3251074e-18
9.900488900894616e-10	0.026868962	0.0021093795	-0.9516708	0	0	0.38	5.821723e-18
1.0000370996095196e-09	0.030089637	0.02003266	-0.94906294	0	0	0.38	4.483415e-18
1.010020705122765e-09	0.03233653	0.029706268	-0.9471909	0	0	0.38	3.8754413e-18
1.0200070652746373e-09	0.051552955	0.023539163	-0.9463997	0	0	0.38	4.0471305e-18
1.0300011963267251e-09	0.06233929	0.031389214	-0.94810885	0	0	0.38	4.0428084e-18
1.04003324306011e-09	0.057782914	0.016086377	-0.94635826	0	0	0.38	4.664752e-18
1.0500023734830732e-09	0.044492938	0.017412158	-0.9454676	0	0	0.38	3.7368273e-18
1.0600267748748634e-09	0.028966973	0.01662855	-0.9475155	0	0	0.38	4.9265897e-18
1.070031810511521e-09	0.048015848	0.010654309	-0.9502984	0	0	0.38	4.2213678e-18
1.0800647728870734e-09	0.04561599	0.0011831293	-0.9534338	0	0	0.38	4.799979e-18
1.0900155980202912e-09	0.057946943	-0.006809716	-0.9540608	0	0	0.38	3.972803e-18
1.1000131317006137e-09	0.047974203	-0.013165531	-0.95130354	0	0	0.38	4.526583e-18
1.1100311327985292e-09	0.037676483	-0.019409178	-0.9493769	0	0	0.38	5.3986662e-18
1.1200173133598813e-09	0.018828383	-0.0049081044	-0.9472074	0	0	0.38	4.204653e-18
1.1300287996587211e-09	0.010015558	0.007905422	-0.94655484	0	0	0.38	3.916819e-18
1.1400241420062726e-09	0.02669973	0.0056894156	-0.94596714	0	0	0.38	4.570914e-18
1.1500536640952665e-09	0.03255772	0.0034066655	-0.9490155	0	0	0.38	4.446977e-18
1.1600274900099377e-09	0.02540867	-0.005129328	-0.94785964	0	0	0.38	4.8226962e-18
1.1700577484928832e-09	0.044151176	-0.009991876	-0.94927305	0	0	0.38	4.4921896e-18
1.180012612270083e-09	0.04399506	-0.01093147	-0.95003325	0	0	0.38	4.203248e-18
1.190013496009174e-09	0.037867036	-0.01501942	-0.95428866	0	0	0.38	4.0329584e-18
1.2000583539100056e-09	0.023221249	-0.023447562	-0.953492	0	0	0.38	4.289743e-18
1.2100507749907546e-09	0.021512618	-0.016694702	-0.95566034	0	0	0.38	4.706429e-18
1.220039397114125e-09	0.03319045	-0.011853138	-0.9532016	0	0	0.38	4.343103e-18
1.2300160914276606e-09	0.035082433	-0.026650138	-0.95533186	0	0	0.38	4.2563228e-18
1.2400616904198128e-09	0.038289357	-0.026019977	-0.9512249	0	0	0.38	4.222568e-18
1.2500528137706244e-09	0.045594323	-0.028688187	-0.9543549	0	0	0.38	5.0446267e-18
1.2600549519618064e-09	0.06535569	-0.039261688	-0.95251346	0	0	0.38	3.3834959e-18
1.2700327024337408e-09	0.06279016	-0.05321668	-0.95167625	0	0	0.38	5.07952e-18
1.2800403674709975e-09	0.06153785	-0.05749634	-0.9452934	0	0	0.38	4.461786e-18
1.2900328995501168e-09	0.04686309	-0.047220055	-0.9464475	0	0	0.38	4.080269e-18
1.300000445539027e-09	0.044329986	-0.056618594	-0.94296974	0	0	0.38	4.346482e-18
1.3100408206958784e-09	0.03501	-0.053616196	-0.9458331	0	0	0.38	3.797353e-18
1.320061363999536e-09	0.02811961	-0.052146517	-0.9410224	0	0	0.38	4.2028836e-18
1.330035277188479e-09	0.045991283	-0.04200729	-0.93990505	0	0	0.38	4.302615e-18
1.3400165885017625e-09	0.049227748	-0.03709855	-0.94459456	0	0	0.38	5.3676197e-18
1.3500288526627086e-09	0.04439336	-0.045759268	-0.9466449	0	0	0.38	4.3357404e-18
1.360049531367131e-09	0.036627144	-0.06103174	-0.94940454	0	0	0.38	3.4060775e-18
1.3700306484109537e-09	0.030749086	-0.0580088	-0.9474898	0	0	0.38	5.567302e-18
1.3800527049331836e-09	0.0017168886	-0.04650262	-0.9519284	0	0	0.38	4.126182e-18
1.390029751836212e-09	-0.0031447883	-0.04734632	-0.95458204	0	0	0.38	4.0557344e-18
1.400043467652829e-09	-0.010744256	-0.049122445	-0.95273685	0	0	0.38	4.1716244e-18
1.410047807174548e-09	-0.00060980365	-0.04957157	-0.95459586	0	0	0.38	4.2975697e-18
1.420006187121698e-09	0.0025937965	-0.06860009	-0.95246595	0	0	0.38	4.927978e-18
1.4300224283088363e-09	-0.0015039291	-0.068943165	-0.9542196	0	0	0.38	3.459532e-18
1.4400039684584328e-09	-0.0095546665	-0.06700341	-0.95699835	0	0	0.38	5.2771116e-18
1.450038766155441e-09	-0.019751234	-0.053773984	-0.9574813	0	0	0.38	4.049766e-18
1.4600355623129452e-09	-0.02708839	-0.052035533	-0.9582425	0	0	0.38	4.457815e-18
1.470015805124689e-09	-0.022925608	-0.0521265	-0.957027	0	0	0.38	4.692467e-18
1.4800168899659415e-09	-0.017082231	-0.057813242	-0.9565638	0	0	0.38	5.5901466e-18
1.490037739503114e-09	-0.005952107	-0.074772306	-0.9517022	0	0	0.38	5.888354e-18
1.5000001122877471e-09	-0.00208113	-0.084988445	-0.94897145	0	0	0.38	5.0790044e-18
1.510049666075308e-09	-0.021716997	-0.08541148	-0.9495017	0	0	0.38	3.6549224e-18
1.5200064189189841e-09	-0.031651516	-0.080990955	-0.947992	0	0	0.38	4.6799377e-18
1.5300191206187998e-09	-0.045867685	-0.073995836	-0.9507174	0	0	0.38	3.847408e-18
1.5400322045760762e-09	-0.057253014	-0.0719709	-0.9496817	0	0	0.38	4.0433304e-18
1.5500140469231366e-09	-0.053122647	-0.07014119	-0.94830215	0	0	0.38	4.345481e-18
1.560054770821075e-09	-0.051084608	-0.06350223	-0.9471015	0	0	0.38	4.9797886e-18
1.5700610430887465e-09	-0.029963491	-0.08819354	-0.9499271	0	0	0.38	5.0736843e-18
1.5800452849480122e-09	-0.038633835	-0.10126689	-0.9469489	0	0	0.38	4.729315e-18
1.5900447139730427e-09	-0.050789595	-0.087093994	-0.9493193	0	0	0.38	5.0529994e-18
1.60001902872728e-09	-0.046858966	-0.07395009	-0.94829047	0	0	0.38	3.475731e-18
1.610051498902452e-09	-0.04743219	-0.063273184	-0.9473085	0	0	0.38	5.0705952e-18
1.6200280080677792e-09	-0.0449205	-0.07094343	-0.94360065	0	0	0.38	4.5036332e-18
1.6300516909649641e-09	-0.046763018	-0.059477884	-0.9455045	0	0	0.38	4.5679804e-18
1.640049919357884e-09	-0.056020986	-0.05087847	-0.9488549	0	0	0.38	5.390025e-18
