# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.41	1.3250005e-18
1.0044467390030445e-11	-0.0029250246	-0.0012571844	-0.97434413	0	0	0.41	4.6107205e-18
2.000083656518737e-11	-0.02544779	-0.027088711	-0.96820337	0	0	0.41	5.9182006e-18
3.001981157957952e-11	-0.0010319444	-0.013763278	-0.963706	0	0	0.41	5.0825745e-18
4.0027562188011644e-11	-0.0024348574	-0.0058671623	-0.9627749	0	0	0.41	4.1360085e-18
5.005743035770425e-11	-0.0007645015	0.0050554676	-0.9572127	0	0	0.41	4.899259e-18
6.002780906145299e-11	0.0022964266	0.012018076	-0.9575555	0	0	0.41	4.022792e-18
7.005733288098246e-11	0.015671516	0.008547273	-0.9580253	0	0	0.41	4.5749097e-18
8.000118871433054e-11	-9.544612e-05	-0.0070101735	-0.9580821	0	0	0.41	5.113712e-18
9.003968117301776e-11	0.010987036	-0.0011656014	-0.9547107	0	0	0.41	4.70073e-18
1.0000116696376106e-10	0.0039030607	-0.011005272	-0.9534342	0	0	0.41	4.8250694e-18
1.1005177014935294e-10	-0.0009281882	-0.02502526	-0.95532346	0	0	0.41	5.033405e-18
1.2001331781170647e-10	-0.0025558183	-0.008582785	-0.9557008	0	0	0.41	5.8630037e-18
1.3004346066936115e-10	-0.0009643601	-0.01599944	-0.9568148	0	0	0.41	4.9548842e-18
1.400591177683487e-10	-0.012087592	-0.01655593	-0.95638686	0	0	0.41	4.1921654e-18
1.5002276687886947e-10	0.0006885658	0.0021568807	-0.95611286	0	0	0.41	4.9475827e-18
1.6006366385081088e-10	0.008411723	-0.005260691	-0.95767695	0	0	0.41	4.077356e-18
1.7005913264777043e-10	0.0075066756	-0.017931059	-0.96184313	0	0	0.41	5.3466295e-18
1.8000402215479773e-10	0.01778953	0.0058654393	-0.95724225	0	0	0.41	4.6240223e-18
1.9004670432328487e-10	0.024793705	0.014834119	-0.96031845	0	0	0.41	4.7231537e-18
2.0002325787658936e-10	0.015379362	0.01993055	-0.9586362	0	0	0.41	4.458592e-18
2.1005221891179609e-10	0.02716702	0.036789317	-0.9593092	0	0	0.41	4.260782e-18
2.2005754971328716e-10	0.037609562	0.043006092	-0.95769864	0	0	0.41	4.6992466e-18
2.3001832556892827e-10	0.035989795	0.03935579	-0.96064526	0	0	0.41	4.406944e-18
2.400387633241345e-10	0.015154905	0.037320215	-0.9628998	0	0	0.41	4.098857e-18
2.5001643668925467e-10	0.017199168	0.031292517	-0.96004766	0	0	0.41	4.876046e-18
2.6000623385682486e-10	0.0119020045	0.034659892	-0.95843804	0	0	0.41	4.7322143e-18
2.700252270656275e-10	0.008491475	0.051476125	-0.9553868	0	0	0.41	6.0408247e-18
2.800185294193773e-10	0.0029389048	0.05459154	-0.9543908	0	0	0.41	4.926924e-18
2.9004393319615175e-10	0.011490549	0.05941988	-0.9534803	0	0	0.41	4.1200737e-18
3.0002131825705787e-10	0.012039915	0.067466795	-0.9500172	0	0	0.41	4.7693782e-18
3.100073233430188e-10	0.025495078	0.06615207	-0.9497424	0	0	0.41	4.8924185e-18
3.2002455551277254e-10	0.018237619	0.082419746	-0.94995314	0	0	0.41	4.719855e-18
3.300357540631557e-10	0.030819226	0.08644004	-0.9486476	0	0	0.41	4.3714357e-18
3.4002834383913724e-10	0.008555946	0.09139348	-0.9468502	0	0	0.41	4.4303306e-18
3.5004963897818937e-10	0.004784252	0.07340481	-0.9483856	0	0	0.41	5.2131234e-18
3.600421862862686e-10	0.0030429293	0.06716793	-0.95065385	0	0	0.41	4.567152e-18
3.7001052340608263e-10	0.020345194	0.06539024	-0.95012647	0	0	0.41	4.3212544e-18
3.8000105901773243e-10	0.024382764	0.04545629	-0.9471927	0	0	0.41	5.4649073e-18
3.9002205584030623e-10	0.009864608	0.063544124	-0.94584405	0	0	0.41	4.5162626e-18
4.000167317380633e-10	0.022124039	0.08354059	-0.94236463	0	0	0.41	5.018295e-18
4.10050447529599e-10	0.027314125	0.08307665	-0.9378593	0	0	0.41	5.199258e-18
4.2003453567293183e-10	0.01889543	0.0684036	-0.93881017	0	0	0.41	4.3926533e-18
4.3005833418719417e-10	0.03813361	0.04994827	-0.9377963	0	0	0.41	5.079572e-18
4.400304488481213e-10	0.03169236	0.051274728	-0.9446345	0	0	0.41	4.7978717e-18
4.50047125476284e-10	0.04860045	0.05646216	-0.94371474	0	0	0.41	4.7237448e-18
4.6005615204076875e-10	0.060748003	0.037655383	-0.94522184	0	0	0.41	4.150918e-18
4.700228602314197e-10	0.051872294	0.035254862	-0.9417667	0	0	0.41	4.726425e-18
4.800576653089047e-10	0.05002296	0.058609024	-0.9389351	0	0	0.41	4.702386e-18
4.900026806324156e-10	0.06823107	0.062567	-0.94715124	0	0	0.41	4.2642823e-18
5.000399923597767e-10	0.08111519	0.06257767	-0.9443361	0	0	0.41	5.2739113e-18
5.100153069168608e-10	0.08155902	0.058827214	-0.94143885	0	0	0.41	4.280426e-18
5.200285377352105e-10	0.06952683	0.046919156	-0.9415894	0	0	0.41	5.6385536e-18
5.300553228831141e-10	0.073160514	0.019151894	-0.93782514	0	0	0.41	5.202806e-18
5.400459809691066e-10	0.07136042	0.024444375	-0.9371522	0	0	0.41	5.28217e-18
5.500579053957937e-10	0.06872343	0.022430638	-0.9407985	0	0	0.41	4.8430118e-18
5.60038831267154e-10	0.08345836	0.023564763	-0.93728215	0	0	0.41	4.843368e-18
5.700086826670728e-10	0.0702598	0.026463274	-0.93416905	0	0	0.41	4.064563e-18
5.800180973120001e-10	0.07719847	0.028086254	-0.9386079	0	0	0.41	4.338262e-18
5.90029020785683e-10	0.08603289	0.017430797	-0.9355543	0	0	0.41	5.2468203e-18
6.000477906319401e-10	0.0792336	0.0101294685	-0.9379581	0	0	0.41	4.333839e-18
6.100286552588054e-10	0.073907346	0.03236579	-0.9376295	0	0	0.41	4.2773902e-18
6.200066378808198e-10	0.074269384	0.01392931	-0.9398626	0	0	0.41	4.354615e-18
6.30053753642665e-10	0.08315914	0.01687208	-0.9390526	0	0	0.41	3.7853745e-18
6.400187668248363e-10	0.09284653	0.014642504	-0.9388704	0	0	0.41	4.8466915e-18
6.500569487868498e-10	0.0638306	0.02770081	-0.94172376	0	0	0.41	5.356613e-18
6.600071726209963e-10	0.059640218	0.030596219	-0.94466996	0	0	0.41	5.025215e-18
6.700158540949715e-10	0.06120622	0.021500973	-0.9438298	0	0	0.41	4.9248787e-18
6.800263902455192e-10	0.05337889	0.018849708	-0.94545424	0	0	0.41	4.5894698e-18
6.900202174249232e-10	0.06042461	0.009989725	-0.94739026	0	0	0.41	4.266856e-18
7.000393085677053e-10	0.053563785	0.013274408	-0.9481912	0	0	0.41	4.2283645e-18
7.100348360166158e-10	0.057671525	0.03088513	-0.9461096	0	0	0.41	4.2344707e-18
7.200632402095836e-10	0.07003051	0.020595856	-0.9488997	0	0	0.41	4.8683124e-18
7.300178631848991e-10	0.05541557	0.01246721	-0.94877434	0	0	0.41	5.084928e-18
7.40011568605286e-10	0.056643337	0.024361573	-0.9463778	0	0	0.41	4.587645e-18
7.500617896537854e-10	0.044219524	0.0214596	-0.94755757	0	0	0.41	4.9456202e-18
7.600118320589622e-10	0.053147677	0.03965421	-0.94954073	0	0	0.41	4.2686407e-18
7.700329698344795e-10	0.053163763	0.048329674	-0.94696766	0	0	0.41	4.998195e-18
7.800632654533461e-10	0.060587164	0.06429761	-0.94521904	0	0	0.41	3.680387e-18
7.900203354395974e-10	0.04799577	0.05338447	-0.94540787	0	0	0.41	5.2055824e-18
8.000305284082613e-10	0.05601	0.057765275	-0.95117563	0	0	0.41	4.244971e-18
8.100409289983428e-10	0.0523121	0.03888433	-0.9524038	0	0	0.41	4.4332373e-18
8.200010539011059e-10	0.037231646	0.032110255	-0.9557423	0	0	0.41	5.25154e-18
8.300142382466333e-10	0.023699883	0.044715665	-0.9534646	0	0	0.41	4.6933343e-18
8.400571180820916e-10	0.03680404	0.055889178	-0.9559399	0	0	0.41	4.23635e-18
8.500385301944397e-10	0.04039471	0.056931976	-0.95397913	0	0	0.41	4.626842e-18
8.600573656105215e-10	0.04581647	0.07771578	-0.9530522	0	0	0.41	5.0009884e-18
8.700200869181124e-10	0.052637335	0.073237486	-0.95311856	0	0	0.41	5.1089723e-18
8.800076938941799e-10	0.061317336	0.080709495	-0.95133346	0	0	0.41	5.557294e-18
8.900090654810581e-10	0.074214116	0.09412273	-0.949384	0	0	0.41	4.5613258e-18
9.000120492999666e-10	0.08730643	0.08904078	-0.9486526	0	0	0.41	5.371974e-18
9.100001300516052e-10	0.07678118	0.09635057	-0.949128	0	0	0.41	5.4558182e-18
9.200304655749957e-10	0.08372891	0.086482055	-0.94824046	0	0	0.41	3.975329e-18
9.300444984052472e-10	0.08403135	0.076742165	-0.94757485	0	0	0.41	3.9127384e-18
9.400354414441988e-10	0.06738151	0.06333573	-0.94467616	0	0	0.41	5.526347e-18
9.500582100891132e-10	0.068512686	0.067361206	-0.9467338	0	0	0.41	5.3050856e-18
9.600605891496724e-10	0.075254805	0.055866882	-0.95328075	0	0	0.41	4.7543707e-18
9.700145507367574e-10	0.089010425	0.06089988	-0.9487652	0	0	0.41	4.584126e-18
