# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.39	1.17474e-18
1.001665431295427e-11	-0.002335183	0.0064995605	-0.97287303	0	0	0.39	4.244243e-18
2.0009928106097563e-11	0.019708905	-0.0143514685	-0.9704994	0	0	0.39	4.1746263e-18
3.001303975313437e-11	0.01237082	-0.0019756705	-0.9690114	0	0	0.39	3.9554503e-18
4.0042008573416445e-11	0.014521708	-0.007979103	-0.96315897	0	0	0.39	4.513626e-18
5.002566971466436e-11	-0.00502644	0.0026011842	-0.9639477	0	0	0.39	4.6813356e-18
6.002438765511836e-11	0.00029668666	0.022739036	-0.9619321	0	0	0.39	4.5013825e-18
7.006148096617519e-11	0.009127549	0.03573456	-0.957102	0	0	0.39	4.2914577e-18
8.0040857837593e-11	0.03158092	0.038797814	-0.95842785	0	0	0.39	4.8073425e-18
9.00563047398927e-11	0.035557717	0.027365226	-0.95496815	0	0	0.39	5.358442e-18
1.0003488942916903e-10	0.043082375	0.029137433	-0.95603	0	0	0.39	4.300725e-18
1.1001653264737979e-10	0.041418936	0.025779916	-0.95643204	0	0	0.39	5.067267e-18
1.2003772215683277e-10	0.04271777	0.015474489	-0.95691985	0	0	0.39	3.673457e-18
1.3004536847151024e-10	0.033609886	0.0013114337	-0.9590431	0	0	0.39	4.4674197e-18
1.4004170823344055e-10	0.025179893	-0.009648264	-0.95607454	0	0	0.39	3.709395e-18
1.5004744750997367e-10	0.04238178	-0.005745411	-0.9549544	0	0	0.39	4.850774e-18
1.6004064077156616e-10	0.021719286	0.0040984764	-0.95102215	0	0	0.39	4.3410207e-18
1.700499670558173e-10	0.03093999	0.016164651	-0.95214707	0	0	0.39	4.997847e-18
1.8005428566728647e-10	0.03306589	0.012085132	-0.94912785	0	0	0.39	4.778779e-18
1.9004855329791467e-10	0.048078157	-0.002458617	-0.94777846	0	0	0.39	5.660161e-18
2.0005824863621845e-10	0.060769767	-0.017469533	-0.94948024	0	0	0.39	3.7946737e-18
2.100080860558221e-10	0.059548058	-0.044992585	-0.94215107	0	0	0.39	4.7258723e-18
2.2003113675600978e-10	0.038679585	-0.045969393	-0.9435425	0	0	0.39	3.4273867e-18
2.3004459103944665e-10	0.018459959	-0.036274437	-0.9449956	0	0	0.39	4.6158486e-18
2.4000469083591404e-10	0.011868571	-0.022184012	-0.94898033	0	0	0.39	4.7930906e-18
2.5003577585722856e-10	0.02397636	-0.017679859	-0.94496554	0	0	0.39	4.2133503e-18
2.6005240873224064e-10	0.03574535	-0.0035579146	-0.9464478	0	0	0.39	4.118061e-18
2.7003997409943396e-10	0.05422887	-0.012120503	-0.9425592	0	0	0.39	4.6734174e-18
2.8004754882154853e-10	0.071128614	-0.02284702	-0.9470511	0	0	0.39	3.4543947e-18
2.900220721486408e-10	0.048588198	-0.033696108	-0.94879663	0	0	0.39	4.6472976e-18
3.0005351776374247e-10	0.042762753	-0.05630616	-0.9494653	0	0	0.39	3.97623e-18
3.1003598621936e-10	0.022879897	-0.04141651	-0.9506813	0	0	0.39	5.4839548e-18
3.2001622265308375e-10	-0.0024499074	-0.03086761	-0.9495358	0	0	0.39	4.018667e-18
3.300314716307165e-10	-0.003993743	-0.019330561	-0.9509453	0	0	0.39	4.5889706e-18
3.4001412832651156e-10	0.0053316043	-0.011941914	-0.94847834	0	0	0.39	4.064672e-18
3.5001518963584136e-10	0.010588734	-0.013078343	-0.94545376	0	0	0.39	4.654151e-18
3.6002021249514143e-10	0.026123792	-0.013241481	-0.94958556	0	0	0.39	5.441003e-18
3.700494238185756e-10	0.03271347	-0.012602281	-0.94785327	0	0	0.39	3.654236e-18
3.80010693898192e-10	0.027610421	-0.03297307	-0.94843996	0	0	0.39	4.456926e-18
3.900098090956876e-10	-0.0029522986	-0.043453574	-0.94984215	0	0	0.39	3.787783e-18
4.0000426403753854e-10	-0.017609391	-0.04384725	-0.9490646	0	0	0.39	3.907323e-18
4.100067638709094e-10	-0.047878712	-0.018629355	-0.94728804	0	0	0.39	5.5075596e-18
4.200517958997524e-10	-0.07216575	-0.010076513	-0.9501561	0	0	0.39	4.0216152e-18
4.300612517514472e-10	-0.061849125	-0.006955675	-0.9502125	0	0	0.39	4.606297e-18
4.400470588976686e-10	-0.04800595	0.0027326017	-0.9504886	0	0	0.39	4.3344186e-18
4.5004461217513123e-10	-0.047183223	0.005060627	-0.94896215	0	0	0.39	5.217456e-18
4.6002933378042124e-10	-0.04698622	0.017010482	-0.9500561	0	0	0.39	5.324112e-18
4.700235084982689e-10	-0.038978	0.0019448778	-0.94901955	0	0	0.39	4.3874065e-18
4.800421981016549e-10	-0.059014387	-0.0036203803	-0.9541755	0	0	0.39	3.9298784e-18
4.900242833179777e-10	-0.07508701	0.0001197058	-0.9507829	0	0	0.39	5.5373766e-18
5.000264288349094e-10	-0.089148045	0.0055331737	-0.9479036	0	0	0.39	4.232048e-18
5.100630703669027e-10	-0.09554238	0.0051855585	-0.94447345	0	0	0.39	4.814734e-18
5.200006369093205e-10	-0.086106926	0.010619083	-0.9437464	0	0	0.39	5.616053e-18
5.300022820009943e-10	-0.06758745	0.022084793	-0.9407987	0	0	0.39	5.4005518e-18
5.400621603216198e-10	-0.051850047	0.036708485	-0.9409008	0	0	0.39	4.2328925e-18
5.50007793096344e-10	-0.020412873	0.032610536	-0.94479537	0	0	0.39	4.503981e-18
5.600492396978927e-10	-0.022813942	0.0152455	-0.94308007	0	0	0.39	4.9038327e-18
5.700146730708564e-10	-0.029142128	0.0017774557	-0.94251674	0	0	0.39	4.4700993e-18
5.800378906458368e-10	-0.045837924	0.030111913	-0.9424503	0	0	0.39	5.344921e-18
5.900259479793914e-10	-0.055971615	0.01765431	-0.94302666	0	0	0.39	4.850277e-18
6.000251569582194e-10	-0.07686136	0.027299995	-0.94029987	0	0	0.39	4.600827e-18
6.100017607365861e-10	-0.0752004	0.036968935	-0.94311273	0	0	0.39	4.799526e-18
6.200014206580097e-10	-0.058530986	0.039219886	-0.9453686	0	0	0.39	4.0216496e-18
6.300489695571912e-10	-0.07096905	0.026364299	-0.94529927	0	0	0.39	3.9704297e-18
6.400127653807205e-10	-0.045098234	0.02653408	-0.94751436	0	0	0.39	4.5911134e-18
6.500192886996148e-10	-0.03882331	0.023031991	-0.9492386	0	0	0.39	4.605247e-18
6.60057897301571e-10	-0.018843157	0.017113319	-0.94985557	0	0	0.39	4.770438e-18
6.700515244265198e-10	-0.019073714	0.0013363935	-0.94789547	0	0	0.39	5.197587e-18
6.800050370779764e-10	-0.025483916	0.0021509777	-0.949528	0	0	0.39	5.3566814e-18
6.900242224187115e-10	-0.05089349	0.019189812	-0.9479227	0	0	0.39	3.790005e-18
7.000143459861728e-10	-0.061592422	0.026441824	-0.9493023	0	0	0.39	4.5595345e-18
7.100628788797408e-10	-0.05618445	0.03938543	-0.94803727	0	0	0.39	4.850503e-18
7.200665124421267e-10	-0.0505489	0.059160966	-0.94495034	0	0	0.39	4.6280656e-18
7.300096221750451e-10	-0.04245061	0.069241896	-0.9432054	0	0	0.39	4.899556e-18
7.400525088976443e-10	-0.025517121	0.049562424	-0.944562	0	0	0.39	4.676261e-18
7.500046377561112e-10	-0.021327991	0.05422882	-0.951642	0	0	0.39	3.69532e-18
7.600579842056025e-10	-0.026814893	0.032583985	-0.9488655	0	0	0.39	4.7828493e-18
7.700223870408855e-10	-0.039168827	0.032610167	-0.9515462	0	0	0.39	4.3785093e-18
7.800532882751442e-10	-0.03758655	0.045360547	-0.954515	0	0	0.39	4.1560486e-18
7.900475738968871e-10	-0.035747387	0.060686216	-0.95466995	0	0	0.39	4.9788497e-18
8.00016384954706e-10	-0.033419125	0.09291483	-0.9567975	0	0	0.39	3.906194e-18
8.100588168224976e-10	-0.031648602	0.1126463	-0.9510847	0	0	0.39	3.4640998e-18
8.200560103061082e-10	-0.019862488	0.112403214	-0.9482542	0	0	0.39	4.8108907e-18
8.300654313728793e-10	-0.0032251165	0.10568262	-0.9496222	0	0	0.39	5.0486477e-18
8.400501377783641e-10	-0.0047452017	0.07874692	-0.9489292	0	0	0.39	5.086208e-18
8.500235033111009e-10	0.01484741	0.051511914	-0.94655085	0	0	0.39	4.710746e-18
8.600164684170841e-10	0.014196471	0.038679767	-0.9457446	0	0	0.39	4.1078186e-18
8.700057638041549e-10	-0.007408405	0.030894637	-0.9434108	0	0	0.39	4.412837e-18
8.800434554398976e-10	-0.010232431	0.036829483	-0.9444497	0	0	0.39	4.513678e-18
8.900343858371488e-10	-0.013336393	0.043937102	-0.9499605	0	0	0.39	3.9832725e-18
9.000585323342985e-10	-0.017212152	0.04974384	-0.94990563	0	0	0.39	4.6144225e-18
9.100463073815193e-10	0.0050912774	0.053289443	-0.9474577	0	0	0.39	4.2632574e-18
9.200111806934927e-10	0.003134657	0.057874955	-0.9464609	0	0	0.39	4.7257643e-18
9.300173963577601e-10	0.019454109	0.029198406	-0.9469304	0	0	0.39	3.8955107e-18
9.400267368941195e-10	0.01952926	0.022029769	-0.9478206	0	0	0.39	4.4656557e-18
9.500244909385668e-10	-0.005850375	0.015660513	-0.9493121	0	0	0.39	5.5754174e-18
9.600507260388063e-10	-0.019231634	0.004095822	-0.9489487	0	0	0.39	4.5293768e-18
9.700569570856088e-10	-0.043242037	0.009045577	-0.951931	0	0	0.39	4.0809253e-18
9.800512172281231e-10	-0.03534166	0.014302232	-0.952844	0	0	0.39	4.511463e-18
9.900256443998491e-10	-0.04359907	0.03708134	-0.9527334	0	0	0.39	4.412383e-18
1.0000074929359931e-09	-0.03323451	0.056510177	-0.9501587	0	0	0.39	4.9087776e-18
1.0100022197574986e-09	-0.02507559	0.07314874	-0.94660974	0	0	0.39	4.90206e-18
1.0200639718700939e-09	-9.282587e-05	0.07111237	-0.94672346	0	0	0.39	4.2762607e-18
1.0300496034062425e-09	0.017130349	0.07571998	-0.94747007	0	0	0.39	4.482798e-18
1.0400199441222199e-09	0.011143328	0.061361182	-0.9453546	0	0	0.39	4.134886e-18
1.050063132746002e-09	-0.0029977271	0.061011482	-0.9429928	0	0	0.39	4.0238916e-18
1.0600188560592563e-09	-0.020997064	0.06338994	-0.9426226	0	0	0.39	4.1194207e-18
1.0700209148633407e-09	-0.007593162	0.06387221	-0.9460273	0	0	0.39	3.9280603e-18
1.0800469993078824e-09	-0.0069003785	0.060561832	-0.95000553	0	0	0.39	4.6574007e-18
1.0900638733240753e-09	0.011695898	0.058967523	-0.951887	0	0	0.39	4.77633e-18
1.1000020501581662e-09	0.010236737	0.058031797	-0.95060796	0	0	0.39	4.048959e-18
1.1100227408024002e-09	0.002676271	0.051773947	-0.95079327	0	0	0.39	5.4460984e-18
1.1200041862593816e-09	-0.008074648	0.06136272	-0.9470786	0	0	0.39	4.7815605e-18
1.1300126736032046e-09	-0.019069256	0.07239873	-0.94598687	0	0	0.39	4.5754577e-18
1.1400097657197472e-09	-0.0029650957	0.07359546	-0.9467249	0	0	0.39	4.2191948e-18
1.150031414704227e-09	0.0037152802	0.07016691	-0.94740146	0	0	0.39	4.472558e-18
1.1600099145296917e-09	-0.0053909426	0.06897408	-0.9432047	0	0	0.39	4.5320895e-18
