# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0	-1	0	0	0.365
1.0030929814474386e-11	-0.0040449556	0.014774731	-0.97445124	0	0	0.365
2.0063653575735105e-11	-0.012276137	0.010158943	-0.96927	0	0	0.365
3.0026810650512876e-11	-0.0038386208	0.0068255463	-0.9658675	0	0	0.365
4.0040078013326866e-11	-0.006649903	0.011115159	-0.9605171	0	0	0.365
5.0062453222080714e-11	-0.022569608	0.001877307	-0.95989275	0	0	0.365
6.003554019524238e-11	-0.016939936	5.4341817e-05	-0.960371	0	0	0.365
7.004275633759857e-11	0.00413669	0.010121454	-0.9574799	0	0	0.365
8.003971118767823e-11	0.011853946	0.017260972	-0.95961916	0	0	0.365
9.004630415095198e-11	0.026572462	0.022735784	-0.9584215	0	0	0.365
1.0001557157144077e-10	0.018151231	0.017070722	-0.9582341	0	0	0.365
1.1005847213019779e-10	0.030978803	0.00010027087	-0.9598775	0	0	0.365
1.200073529767909e-10	0.012273578	-0.0020630565	-0.95709294	0	0	0.365
1.3002186086552997e-10	0.023712007	0.004128965	-0.95776474	0	0	0.365
1.400165114046957e-10	0.038764518	0.0031803136	-0.9592165	0	0	0.365
1.5002257027932107e-10	0.022063045	-0.011443254	-0.95549047	0	0	0.365
1.6006216350163526e-10	0.030340277	-0.009947912	-0.9530358	0	0	0.365
1.7002745008145167e-10	0.03244978	-0.020723479	-0.9524157	0	0	0.365
1.80040142217225e-10	0.027734948	-0.023507241	-0.95900106	0	0	0.365
1.9005688271228922e-10	0.019557765	-0.019262519	-0.96024513	0	0	0.365
2.0006196337674818e-10	0.025217695	-0.037667986	-0.9526005	0	0	0.365
2.1002288159730993e-10	0.017180935	-0.0417002	-0.9546089	0	0	0.365
2.200170531159543e-10	0.019198803	-0.032288313	-0.9552642	0	0	0.365
2.3000821741409443e-10	0.018720254	-0.010631461	-0.9583916	0	0	0.365
2.400387352922708e-10	0.026616232	-0.011042973	-0.9584964	0	0	0.365
2.500093509846442e-10	0.03163668	-0.02318293	-0.95490533	0	0	0.365
2.600147874777893e-10	0.037909944	-0.023579948	-0.9507231	0	0	0.365
2.7002052986078757e-10	0.016652629	-0.028539587	-0.95415133	0	0	0.365
2.800291754192556e-10	0.01149547	-0.038786866	-0.95375115	0	0	0.365
2.9000029570842865e-10	-0.0043256986	-0.040035225	-0.9529039	0	0	0.365
3.0001368217041267e-10	0.0030888477	-0.021701451	-0.9502177	0	0	0.365
