# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.39	1.17474e-18
1.003159310049721e-11	0.0097081745	0.0005210609	-0.9747588	0	0	0.39	4.185391e-18
2.0008651943248118e-11	0.019473614	-0.0041330047	-0.9667749	0	0	0.39	4.3710676e-18
3.004799200667625e-11	0.031557795	-0.027632022	-0.964208	0	0	0.39	5.2096414e-18
4.0045490576971067e-11	0.024685642	-0.030106023	-0.96292657	0	0	0.39	5.1927384e-18
5.0024091738582e-11	0.0052724765	-0.020054078	-0.9614797	0	0	0.39	3.800662e-18
6.005666618683698e-11	-0.007985802	-0.014074854	-0.9578009	0	0	0.39	4.691406e-18
7.003543443415012e-11	-0.0042294892	-0.026426198	-0.95764774	0	0	0.39	4.6755565e-18
8.001812214705617e-11	0.018922133	-0.0137096625	-0.9547407	0	0	0.39	5.5089075e-18
9.000426050093215e-11	0.0322192	-0.02058723	-0.9555108	0	0	0.39	4.6259753e-18
1.000234387279252e-10	0.032504275	-0.024306227	-0.9558065	0	0	0.39	4.3396223e-18
1.1004660463774814e-10	0.03418945	-0.01973863	-0.95620507	0	0	0.39	3.137847e-18
1.2000896832807085e-10	0.028124494	-0.030365333	-0.9560835	0	0	0.39	5.1106275e-18
1.3005842657192014e-10	0.049733654	-0.034549434	-0.956754	0	0	0.39	3.661987e-18
1.400072204872588e-10	0.03339349	-0.038535718	-0.9600651	0	0	0.39	4.736806e-18
1.5000030244473022e-10	0.035890944	-0.052144103	-0.9603045	0	0	0.39	4.6474804e-18
1.6002404771020574e-10	0.0279241	-0.037577447	-0.9614316	0	0	0.39	3.9961186e-18
1.7002560655879167e-10	0.0243268	-0.047717165	-0.9597508	0	0	0.39	4.5016873e-18
1.8002945803697733e-10	0.017149765	-0.04942537	-0.9568589	0	0	0.39	4.3365055e-18
1.900304828197913e-10	0.018872727	-0.044520397	-0.95659214	0	0	0.39	5.2075586e-18
2.0001076293227657e-10	0.01951355	-0.04508524	-0.95769864	0	0	0.39	4.275141e-18
2.1003748233630748e-10	0.02465701	-0.022011468	-0.9541178	0	0	0.39	5.0608283e-18
2.2006337081030735e-10	0.028146284	-0.028340932	-0.95406795	0	0	0.39	4.749631e-18
2.3000865116679093e-10	0.02226014	-0.053414326	-0.95408475	0	0	0.39	4.3165254e-18
2.4005677232922173e-10	0.031127159	-0.06525127	-0.95528454	0	0	0.39	5.478981e-18
2.5002546744063995e-10	0.018103696	-0.07757625	-0.9540625	0	0	0.39	4.8899456e-18
2.6001947174459936e-10	0.008523946	-0.0739324	-0.9558664	0	0	0.39	3.8915014e-18
2.7001864164529347e-10	-0.005736249	-0.06875777	-0.9523725	0	0	0.39	4.4068738e-18
2.800053968463107e-10	-0.0076620146	-0.06762226	-0.94632107	0	0	0.39	5.004565e-18
2.9004815718164306e-10	0.012475857	-0.06287419	-0.9458615	0	0	0.39	4.1956143e-18
3.000538422135245e-10	0.019293364	-0.054881506	-0.94546187	0	0	0.39	4.160638e-18
3.1003073988533814e-10	0.0348126	-0.062435642	-0.9462889	0	0	0.39	3.2951244e-18
3.200267478714056e-10	0.019728841	-0.08009083	-0.9447935	0	0	0.39	4.698447e-18
3.30052485075906e-10	0.012407124	-0.085075945	-0.94584256	0	0	0.39	4.5063497e-18
3.4001727499825583e-10	0.0119312545	-0.095867015	-0.94608486	0	0	0.39	4.698596e-18
3.500127586569334e-10	0.007280764	-0.09429172	-0.94806254	0	0	0.39	4.3770283e-18
3.600115080842274e-10	-0.0023945963	-0.089039244	-0.94946843	0	0	0.39	4.5817245e-18
3.700481972960265e-10	0.014748753	-0.06685466	-0.9510743	0	0	0.39	4.9766056e-18
3.800142152493089e-10	0.01158633	-0.054209553	-0.9513582	0	0	0.39	4.05852e-18
3.9006019760887677e-10	0.025608875	-0.055810817	-0.952734	0	0	0.39	4.276358e-18
4.000530721261289e-10	0.04515259	-0.048480127	-0.95279133	0	0	0.39	5.1616753e-18
4.100618563132091e-10	0.028413812	-0.06634134	-0.9545242	0	0	0.39	4.7312353e-18
4.200347707143313e-10	0.029679341	-0.08028897	-0.9525999	0	0	0.39	4.7829184e-18
4.3002074355830375e-10	0.0128320595	-0.08850953	-0.95347166	0	0	0.39	5.133614e-18
4.4000341400234743e-10	0.017145086	-0.103259176	-0.9483154	0	0	0.39	4.9589002e-18
4.5004129440602084e-10	0.011415908	-0.096370324	-0.9525342	0	0	0.39	4.419902e-18
4.6003151111078354e-10	0.0281834	-0.11219784	-0.9489133	0	0	0.39	3.9886496e-18
4.700337341304778e-10	0.028020168	-0.13103582	-0.9479784	0	0	0.39	5.3788304e-18
4.800415300289158e-10	0.008936555	-0.11976743	-0.9515392	0	0	0.39	3.3519499e-18
4.900547134240409e-10	-0.001585965	-0.11575914	-0.95108634	0	0	0.39	4.150954e-18
5.000449216942778e-10	0.004859328	-0.13012445	-0.94691956	0	0	0.39	4.425133e-18
5.100346783855353e-10	-0.01213422	-0.119055696	-0.9496573	0	0	0.39	4.1363605e-18
5.200604518517864e-10	-0.012193717	-0.12543151	-0.94425356	0	0	0.39	4.749197e-18
5.300356291165617e-10	-0.023959946	-0.14093702	-0.94338584	0	0	0.39	3.9711874e-18
5.400088038278518e-10	-0.054881074	-0.1290934	-0.9425794	0	0	0.39	4.105063e-18
5.500320780354857e-10	-0.057428434	-0.116075255	-0.94387937	0	0	0.39	4.4422353e-18
5.600093105354334e-10	-0.058806937	-0.08470085	-0.94703627	0	0	0.39	3.8401235e-18
5.700459693797723e-10	-0.061972924	-0.057868693	-0.9475569	0	0	0.39	4.410798e-18
5.800550702553138e-10	-0.07068299	-0.05225937	-0.9480033	0	0	0.39	4.6391734e-18
5.900227522588309e-10	-0.06181522	-0.037947714	-0.95490175	0	0	0.39	4.492789e-18
6.000241363439329e-10	-0.05258154	-0.042548284	-0.9526629	0	0	0.39	4.31008e-18
6.100367391023086e-10	-0.060874794	-0.04884097	-0.95394355	0	0	0.39	4.463018e-18
6.200341986765196e-10	-0.060065623	-0.03952158	-0.95058995	0	0	0.39	5.6258274e-18
