# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.4	1.2498702e-18
1.0036105628903693e-11	0.0040957234	0.007633032	-0.976446	0	0	0.4	3.6712025e-18
2.004332988128438e-11	0.015831688	0.018651152	-0.9699309	0	0	0.4	4.4661636e-18
3.000267787755851e-11	0.033295795	0.013543186	-0.9665252	0	0	0.4	4.0783607e-18
4.0049462344021987e-11	0.015641015	0.023985703	-0.9645641	0	0	0.4	4.643873e-18
5.002929119856062e-11	0.013015914	0.04116785	-0.9628964	0	0	0.4	5.888384e-18
6.005229026561796e-11	0.015214067	0.048396867	-0.96014583	0	0	0.4	4.7797366e-18
7.000827527235038e-11	0.040971257	0.03020303	-0.95838267	0	0	0.4	5.1315895e-18
8.003192831035907e-11	0.050019916	0.018102322	-0.9609196	0	0	0.4	4.4608858e-18
9.001973351507092e-11	0.052214112	0.007982505	-0.9622291	0	0	0.4	4.305256e-18
1.0002825697736233e-10	0.05260781	-0.0050349375	-0.96288747	0	0	0.4	4.6073766e-18
1.1005665676357919e-10	0.04198223	-0.005553155	-0.9611917	0	0	0.4	3.957711e-18
1.2004410742348251e-10	0.05230888	-0.005732855	-0.9599701	0	0	0.4	5.8301766e-18
1.3004443207281503e-10	0.0531189	-0.021461416	-0.9596764	0	0	0.4	4.215483e-18
1.400477444581973e-10	0.05169139	-0.03789919	-0.956165	0	0	0.4	4.465907e-18
1.500036193007645e-10	0.046439048	-0.03355659	-0.9552552	0	0	0.4	4.323477e-18
1.6003951374067822e-10	0.042425904	-0.031633873	-0.95338315	0	0	0.4	4.165556e-18
1.7000422067558742e-10	0.051225863	-0.015501819	-0.9550981	0	0	0.4	4.2425337e-18
1.8005183864554972e-10	0.03734874	-0.010407857	-0.9558862	0	0	0.4	4.84754e-18
1.9005459839996378e-10	0.05977681	-0.017913321	-0.9558538	0	0	0.4	5.0677493e-18
2.0004845103952968e-10	0.06445072	-0.011637601	-0.9528159	0	0	0.4	5.0838843e-18
2.1000506379426222e-10	0.046168406	-0.03164425	-0.95345527	0	0	0.4	4.3423194e-18
2.2006666146865037e-10	0.061050076	-0.03213787	-0.9546725	0	0	0.4	5.0419917e-18
2.3002773283965472e-10	0.058240723	-0.051746283	-0.95450544	0	0	0.4	4.6061346e-18
2.4005552894405694e-10	0.054639082	-0.07577868	-0.95330256	0	0	0.4	5.05013e-18
2.500068738074944e-10	0.038377576	-0.074139625	-0.9512831	0	0	0.4	4.75701e-18
2.6005187302640855e-10	0.027384467	-0.08516352	-0.9502364	0	0	0.4	4.4150194e-18
2.700008688602899e-10	0.023070937	-0.10441158	-0.9503306	0	0	0.4	4.396294e-18
2.8001859482740223e-10	0.020939376	-0.1069748	-0.9491877	0	0	0.4	4.4379663e-18
2.9000995614790275e-10	0.0074200374	-0.093363054	-0.9493365	0	0	0.4	4.51016e-18
3.0004751015515425e-10	-0.0052752094	-0.08568317	-0.94731283	0	0	0.4	4.4033967e-18
3.100347509185514e-10	0.0017169286	-0.07012278	-0.9470889	0	0	0.4	4.883105e-18
3.2003757210882883e-10	-0.007686496	-0.076474145	-0.9517673	0	0	0.4	4.043869e-18
3.300107354664814e-10	0.008545607	-0.07785645	-0.95265496	0	0	0.4	4.6123343e-18
3.400505469946595e-10	0.015480968	-0.084597796	-0.9515997	0	0	0.4	4.369227e-18
