# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.00581263	0.043430645	-0.94863105	0	0	0.32
2e-09	-0.01681672	0.02997174	-0.9548334	0	0	0.33
3.0000000000000004e-09	-0.09895527	0.050084215	-0.94412947	0	0	0.34
4e-09	-0.03068193	-0.17254262	-0.9147019	0	0	0.35
5e-09	0.050760824	-0.025228852	-0.9538295	0	0	0.36
6e-09	0.029483078	-0.015310243	0.96586174	0	0	0.37
7e-09	0.0039606676	-0.019831907	0.9605224	0	0	0.38
8e-09	-0.013677045	0.021144582	0.96807194	0	0	0.39
9.000000000000001e-09	0.029259346	0.044647954	0.9675729	0	0	0.4
1.0000000000000002e-08	0.0054334514	-0.008977491	0.9643829	0	0	0.41
1.1000000000000003e-08	0.027403854	-0.0073034577	0.9662627	0	0	0.42
