# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.030387022	-0.08133546	-0.9381104	0	0	0.32
2e-09	-0.038113125	0.03463568	-0.9520575	0	0	0.33
3.0000000000000004e-09	0.109072246	-0.05392249	-0.9451916	0	0	0.34
4e-09	0.06324958	-0.06119862	-0.9477785	0	0	0.35
5e-09	-0.007628221	-0.049469795	-0.9394074	0	0	0.36
6e-09	0.11176495	0.025871035	-0.9480816	0	0	0.37
7e-09	0.01730391	0.011670572	0.9662704	0	0	0.38
8e-09	0.0024799258	-0.031844955	0.96760523	0	0	0.39
9.000000000000001e-09	-0.0019212861	-0.009503031	0.962819	0	0	0.4
1.0000000000000002e-08	-0.012323242	-0.052137323	0.96382594	0	0	0.41
1.1000000000000003e-08	0.00049680145	0.0077798446	0.9642184	0	0	0.42
