# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.08352101	0.0058658356	-0.95210713	0	0	0.32
2e-09	0.097930916	0.107653014	-0.9390719	0	0	0.33
3.0000000000000004e-09	0.007679795	-0.08001542	-0.9525718	0	0	0.34
4e-09	-0.081080385	-0.019374995	-0.9491812	0	0	0.35
5e-09	-0.24014142	0.07864401	-0.90169203	0	0	0.36
6e-09	-0.014036957	0.07131626	-0.94249964	0	0	0.37
7e-09	-0.124123715	-0.39354652	-0.80009866	0	0	0.38
8e-09	0.006462872	-0.058107562	0.9626801	0	0	0.39
9.000000000000001e-09	0.00016734749	-0.007992759	0.9648111	0	0	0.4
1.0000000000000002e-08	-0.009354741	0.030080639	0.9670376	0	0	0.41
1.1000000000000003e-08	0.01546271	-0.008843633	0.9637333	0	0	0.42
