# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.07063778	-0.020963576	-0.94997585	0	0	0.32
2e-09	0.08085998	-0.07017096	-0.9366266	0	0	0.33
3.0000000000000004e-09	0.004674376	-0.09663071	-0.9504495	0	0	0.34
4e-09	-0.014327271	-0.11618292	-0.9440279	0	0	0.35
5e-09	0.122158885	-0.15947129	-0.9234309	0	0	0.36
6e-09	-0.16284448	-0.08065885	-0.9215802	0	0	0.37
7e-09	0.26602668	-0.26149347	0.30615172	0	0	0.38
8e-09	0.014898982	-0.040228404	0.96294	0	0	0.39
9.000000000000001e-09	-0.0049911328	-0.012333306	0.96355176	0	0	0.4
1.0000000000000002e-08	0.009758548	7.353909e-05	0.9712162	0	0	0.41
1.1000000000000003e-08	0.005484775	-0.013564335	0.9680671	0	0	0.42
