# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.008274583	0.012248989	-0.95467913	0	0	0.32
2e-09	0.1857467	0.037345752	-0.9352746	0	0	0.33
3.0000000000000004e-09	-0.09673372	-0.040582128	-0.94726074	0	0	0.34
4e-09	0.0050201556	-0.0288999	0.9666945	0	0	0.35
5e-09	0.013754448	0.006074272	0.96464956	0	0	0.36
6e-09	0.02835033	0.05274157	0.9628197	0	0	0.37
7e-09	0.017476115	0.034074534	0.9607012	0	0	0.38
8e-09	-0.011723982	0.014381374	0.96487105	0	0	0.39
9.000000000000001e-09	0.013015745	-0.04539481	0.9645257	0	0	0.4
1.0000000000000002e-08	0.011833142	0.001690222	0.96313256	0	0	0.41
1.1000000000000003e-08	-0.0006120815	-0.017788189	0.9626869	0	0	0.42
