# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.0381195	-0.16454206	-0.93744767	0	0	0.32
2e-09	-0.15044084	-0.08429166	-0.9179791	0	0	0.33
3.0000000000000004e-09	0.12855393	-0.097574145	-0.9408834	0	0	0.34
4e-09	-0.053760372	0.03235382	-0.946116	0	0	0.35
5e-09	-0.042714745	0.0640231	-0.94847894	0	0	0.36
6e-09	0.012132227	0.16501813	-0.9316248	0	0	0.37
7e-09	-0.01605813	0.02709927	0.96770906	0	0	0.38
8e-09	-0.003666595	-0.016057273	0.96629107	0	0	0.39
9.000000000000001e-09	-0.008557454	-0.013655574	0.966064	0	0	0.4
1.0000000000000002e-08	0.012744001	0.0059984596	0.96573853	0	0	0.41
1.1000000000000003e-08	0.004637873	0.04708246	0.96235335	0	0	0.42
