# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.085299775	0.03827699	-0.9553224	0	0	0.32
2e-09	-0.0446809	-0.032543715	-0.94374335	0	0	0.33
3.0000000000000004e-09	-0.06494286	-0.06499923	-0.9352809	0	0	0.34
4e-09	-0.18484336	-0.0004204642	-0.9398679	0	0	0.35
5e-09	0.04587673	-0.17919773	-0.9262916	0	0	0.36
6e-09	-0.027540298	-0.006633715	0.9659786	0	0	0.37
7e-09	0.001366769	0.015276482	0.9680146	0	0	0.38
8e-09	-0.018328346	0.025877586	0.9639572	0	0	0.39
9.000000000000001e-09	0.0055797114	0.03084196	0.96469986	0	0	0.4
1.0000000000000002e-08	0.007542606	0.036320705	0.96599805	0	0	0.41
1.1000000000000003e-08	-0.02708849	0.01750743	0.96629524	0	0	0.42
