# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.011693023	0.14174718	-0.93893373	0	0	0.32
2e-09	-0.064659186	-0.010293579	-0.9468831	0	0	0.33
3.0000000000000004e-09	0.03098834	-0.114008375	-0.9467808	0	0	0.34
4e-09	-0.14988616	-0.34916484	0.33757517	0	0	0.35
5e-09	0.016035445	0.01132779	0.9696224	0	0	0.36
6e-09	0.028514028	-0.02653014	0.9658441	0	0	0.37
7e-09	-0.036910575	0.0021874579	0.96710974	0	0	0.38
8e-09	0.037646595	-0.02538616	0.9576767	0	0	0.39
9.000000000000001e-09	0.005761858	0.0128797805	0.9664383	0	0	0.4
1.0000000000000002e-08	-0.0069162576	-0.018032426	0.9677124	0	0	0.41
1.1000000000000003e-08	-0.0036460888	0.004501401	0.9675583	0	0	0.42
