# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.16470213	0.08641843	-0.93277305	0	0	0.32
2e-09	0.055962965	0.18354838	-0.93100214	0	0	0.33
3.0000000000000004e-09	0.030527271	-0.004015629	-0.94913286	0	0	0.34
4e-09	-0.1951938	-0.10930183	-0.9229944	0	0	0.35
5e-09	-0.042307626	0.045531813	0.96414495	0	0	0.36
6e-09	0.021935416	0.033021156	0.9656654	0	0	0.37
7e-09	0.004273335	0.01103718	0.9662481	0	0	0.38
8e-09	-0.003238676	-0.0066016875	0.960235	0	0	0.39
9.000000000000001e-09	-0.008403826	0.01819203	0.96670365	0	0	0.4
1.0000000000000002e-08	0.014939874	-0.016225927	0.96464133	0	0	0.41
1.1000000000000003e-08	0.008706538	0.03433073	0.9667707	0	0	0.42
