# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.0477875	0.032304462	-0.94918215	0	0	0.32
2e-09	-0.018398432	-0.20152298	-0.92372715	0	0	0.33
3.0000000000000004e-09	-0.08354686	-0.046891205	-0.9384583	0	0	0.34
4e-09	0.034882113	-0.13104562	-0.94371164	0	0	0.35
5e-09	0.22025833	-0.20823048	-0.9041928	0	0	0.36
6e-09	-0.00032705546	-0.017773863	0.9610381	0	0	0.37
7e-09	0.027563632	0.0118363835	0.9621108	0	0	0.38
8e-09	-0.026786571	-0.012390154	0.9627539	0	0	0.39
9.000000000000001e-09	-0.01990394	-0.025145227	0.96290994	0	0	0.4
1.0000000000000002e-08	-0.036601078	0.019471664	0.96279204	0	0	0.41
1.1000000000000003e-08	0.017242026	0.016371284	0.9661098	0	0	0.42
