# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.020747516	0.054869924	-0.94441646	0	0	0.32
2e-09	-2.7429312e-05	0.0333046	-0.94301236	0	0	0.33
3.0000000000000004e-09	0.022465505	-0.060946506	-0.9385987	0	0	0.34
4e-09	0.006552158	-0.02791624	0.96449375	0	0	0.35
5e-09	0.0019887458	-0.021606665	0.96017754	0	0	0.36
6e-09	-0.009222484	-0.0145173315	0.9598207	0	0	0.37
7e-09	-0.007143311	0.020933349	0.9600995	0	0	0.38
8e-09	-0.03236686	-0.0053949896	0.95984936	0	0	0.39
9.000000000000001e-09	0.027171075	-0.014684685	0.962829	0	0	0.4
1.0000000000000002e-08	-0.019547105	-0.00034252508	0.96235776	0	0	0.41
1.1000000000000003e-08	-0.008513143	-2.2748369e-05	0.9618207	0	0	0.42
