# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.059264056	0.020326076	-0.9472543	0	0	0.32
2e-09	0.13878116	0.18071154	-0.92127955	0	0	0.33
3.0000000000000004e-09	0.039182335	0.053304873	0.959638	0	0	0.34
4e-09	-0.018675216	-0.0129170995	0.9619597	0	0	0.35
5e-09	-0.012118041	-0.011618894	0.96329105	0	0	0.36
6e-09	0.028538235	0.041930143	0.9610646	0	0	0.37
7e-09	0.014171948	0.018813075	0.9593294	0	0	0.38
8e-09	-0.013467364	-0.048161864	0.9629113	0	0	0.39
9.000000000000001e-09	0.057165224	-0.0025008153	0.96601045	0	0	0.4
1.0000000000000002e-08	-0.016490694	-0.0018692837	0.96347106	0	0	0.41
1.1000000000000003e-08	-0.0038327146	-0.009486416	0.9609476	0	0	0.42
