# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.019436728	-0.058398448	-0.9389323	0	0	0.32
2e-09	-0.0012405962	0.086059615	-0.9376544	0	0	0.33
3.0000000000000004e-09	0.08803542	-0.13249026	-0.93930185	0	0	0.34
4e-09	-0.040745255	0.07374236	-0.9527589	0	0	0.35
5e-09	-0.09811565	0.009346854	-0.9448222	0	0	0.36
6e-09	0.0007512504	0.05164245	0.96127427	0	0	0.37
7e-09	-0.008100813	0.004027605	0.9582845	0	0	0.38
8e-09	0.0028786715	0.013617226	0.9654131	0	0	0.39
9.000000000000001e-09	-0.012918806	0.04163365	0.9598124	0	0	0.4
1.0000000000000002e-08	-0.0077864076	-0.017986938	0.9615226	0	0	0.41
1.1000000000000003e-08	-0.013036753	0.0320296	0.9616823	0	0	0.42
