# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.18691261	-0.016554005	-0.91736376	0	0	0.32
2e-09	0.101965286	0.13696547	-0.94015604	0	0	0.33
3.0000000000000004e-09	-0.017177945	0.018743357	0.9635853	0	0	0.34
4e-09	-0.053333215	-0.0065986756	0.9599881	0	0	0.35
5e-09	-0.008817878	-0.003638072	0.9653829	0	0	0.36
6e-09	0.0037023686	-0.03943599	0.9630497	0	0	0.37
7e-09	-0.029558029	0.016492888	0.96343684	0	0	0.38
8e-09	0.0189079	-0.026325373	0.9625966	0	0	0.39
9.000000000000001e-09	-0.005171363	0.011184896	0.96315944	0	0	0.4
1.0000000000000002e-08	-0.008080357	-0.013407183	0.96533304	0	0	0.41
1.1000000000000003e-08	-0.016734235	0.034130633	0.96431947	0	0	0.42
