# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	0.039505195	-0.04294293	-0.9410212	0	0	0.32
2e-09	0.04624573	0.071441956	-0.9474932	0	0	0.33
3.0000000000000004e-09	0.04288558	-0.05462077	-0.94293135	0	0	0.34
4e-09	0.013518974	0.16265742	-0.939857	0	0	0.35
5e-09	-0.21085	0.4240216	0.12612349	0	0	0.36
6e-09	0.019198202	-0.008391829	0.9592302	0	0	0.37
7e-09	0.09504004	0.022834875	0.9603164	0	0	0.38
8e-09	-0.017512735	0.015454776	0.9622553	0	0	0.39
9.000000000000001e-09	-0.008887117	-0.0023763888	0.96218103	0	0	0.4
1.0000000000000002e-08	-0.0024687238	0.008692218	0.96518546	0	0	0.41
1.1000000000000003e-08	0.0061440123	0.040056434	0.96192336	0	0	0.42
